"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","Emperical.Formula","RT..min.","m.z","ionization_form","KEGG_Code","ChEBI_Code","Liquid.Fraction","Conc..uM","HILICMix","Date.added","Classyfire","Priority","KEGG_Names","PubChem_Code","PubChem_Formula","InChI_Key_Code","Canon_SMILES_Code","IUPAC_Code"
"Melamine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Melamine","Melamine","Melamine","C3H6N6",6.68,127.073219,"[M+H]","cpd:C08737","ChEBI:27915","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Triazines; subclass: 1,3,5-triazines",TRUE,"Melamine; 2,4,6-Triamino-1,3,5-triazine",7955,"C3H6N6","JDSHMPZPIAZGSV-UHFFFAOYSA-N","C1(=NC(=NC(=N1)N)N)N","1,3,5-triazine-2,4,6-triamine"
"Maltose","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Maltose","Maltose","Maltose","C12H22O11",12.31,341.10839,"[M-H]","cpd:C00208","ChEBI:17306","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds",TRUE,"Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose",439341,"C12H22O11","GUBGYTABKSRVRQ-ASMJPISFSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol"
"Lactose","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Lactose","Lactose","Lactose","C12H22O11",12.53,341.10839,"[M-H]","cpd:C00243","ChEBI:17716","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds",TRUE,"Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar",NA,NA,"GUBGYTABKSRVRQ-DCSYEGIMSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol"
"Lactose","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Lactose","Lactose","Lactose","C12H22O11",12.53,343.12404,"[M+H]","cpd:C00243","ChEBI:17716","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds",FALSE,"Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar",NA,NA,"GUBGYTABKSRVRQ-DCSYEGIMSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol"
"Gonyol","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Gonyol","Gonyol","Gonyol","C7H14O3S",10.74,179.074191,"[M+H]",NA,NA,"Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Hydroxy acids and derivatives; subclass: Beta hydroxy acids and derivatives",TRUE,NA,NA,NA,"BGFHLXJVANJCHK-ZCFIWIBFSA-N","C[S+](C)CCC(CC(=O)[O-])O","(3S)-5-(Dimethylsulfonio)-3-hydroxypentanoate"
"Betonicine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Betonicine","Betonicine","Betonicine","C7H13NO3",8.45,160.097369,"[M+H]","cpd:C08269","ChEBI:85533","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Proline and derivatives",TRUE,"(-)-Betonicine; Betonicine; trans-4-Hydroxy-L-proline betaine",164642,"C7H13NO3","MUNWAHDYFVYIKH-RITPCOANSA-N","C[N+]1(CC(CC1C(=O)[O-])O)C","(2S,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate"
"O-Methylmalonyl-L-carnitine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Methylmalonyl carnitine","MMC","MMC","C11H19NO6",9.67,262.129063,"[M+H]",NA,NA,"Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines",TRUE,NA,91825610,"C11H19NO6","XROYFEWIXXCPAW-BRFYHDHCSA-N","CC(C(=O)O)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C","(3R)-3-(2-carboxypropanoyloxy)-4-(trimethylazaniumyl)butanoate"
"Succinic semialdehyde","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Succinic semialdehyde","SSA","Succinic semialdehyde","C4H6O3",6.51,101.02387,"[M-H]","cpd:C00232","ChEBI:16265","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Straight chain fatty acids",TRUE,"Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate",1112,"C4H6O3","UIUJIQZEACWQSV-UHFFFAOYSA-N","C(CC(=O)O)C=O","4-oxobutanoic acid"
"Arsenobetaine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Arsenobetaine","Arsenobetaine","Arsenobetaine","C5H11AsO2",7.06,179.005326,"[M+H]","cpd:C19331","ChEBI:82392","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts; kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts",TRUE,"Arsenobetaine",47364,"C5H11AsO2","SPTHHTGLGVZZRH-UHFFFAOYSA-N","C[As+](C)(C)CC(=O)[O-]","2-trimethylarsoniumylacetate"
"Dexpanthenol","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Dexpanthenol","Dexpanthenol","Dexpanthenol","C9H19NO4",2.27,206.139234,"[M+H]","cpd:C05944","ChEBI:27373","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols",FALSE,"Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic",131204,"C9H19NO4","SNPLKNRPJHDVJA-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCCO)O","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide"
"Inosine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Inosine","Inosine","Inosine","C10H12N4O5",7.57,269.088596,"[M+H]","cpd:C00294","ChEBI:17596","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides",FALSE,"Inosine",135398641,"C10H12N4O5","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one"
"Inosine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Inosine","Inosine","Inosine","C10H12N4O5",7.57,267.072946,"[M-H]","cpd:C00294","ChEBI:17596","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides",TRUE,"Inosine",135398641,"C10H12N4O5","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one"
"Hordenine","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Hordenine","Hordenine","Hordenine","C10H15NO",3.34,166.123189,"[M+H]","cpd:C06199","ChEBI:5764","Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Phenethylamines; kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Phenethylamines",TRUE,"Hordenine; 4-[2-(Dimethylamino)ethyl]phenol",68313,"C10H15NO","KUBCEEMXQZUPDQ-UHFFFAOYSA-N","CN(C)CCC1=CC=C(C=C1)O","4-[2-(dimethylamino)ethyl]phenol"
"Allopurinol","HILIC",1,NA,NA,NA,NA,NA,NA,"New3","Allopurinol","Allopurinol","Allopurinol","C5H4N4O",4.16,137.046336,"[M+H]",NA,NA,"Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines",FALSE,NA,135401907,"C5H4N4O","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one"
"Allopurinol","HILIC",-1,NA,NA,NA,NA,NA,NA,"New3","Allopurinol","Allopurinol","Allopurinol","C5H4N4O",4.16,135.030686,"[M-H]",NA,NA,"Aq",4,"Mix2",180701,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines",TRUE,NA,135401907,"C5H4N4O","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one"
"Acetylcholine","HILIC",1,NA,NA,NA,NA,NA,NA,"New4","Acetylcholine","Acetylcholine","Acetylcholine","C7H16NO2",13.37,146.118104,"[M]","cpd:C01996","ChEBI:15355","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines; level 6: Acyl cholines",TRUE,"Acetylcholine; O-Acetylcholine",187,"C7H16NO2+","OIPILFWXSMYKGL-UHFFFAOYSA-N","CC(=O)OCC[N+](C)(C)C","2-acetyloxyethyl(trimethyl)azanium"
"L-Cysteinesulfinic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New4","Cysteinesulfinic acid","CSA","CSA","C3H7NO4S",10.74,154.017406,"[M+H]","cpd:C00606","ChEBI:16345","Aq",5,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",FALSE,"3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine",1549098,"C3H7NO4S","ADVPTQAUNPRNPO-REOHCLBHSA-N","C(C(C(=O)O)N)S(=O)O","(2R)-2-amino-3-sulfinopropanoic acid"
"L-Cysteinesulfinic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New4","Cysteinesulfinic acid","CSA","CSA","C3H7NO4S",10.74,152.001756,"[M-H]","cpd:C00606","ChEBI:16345","Aq",5,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine",1549098,"C3H7NO4S","ADVPTQAUNPRNPO-REOHCLBHSA-N","C(C(C(=O)O)N)S(=O)O","(2R)-2-amino-3-sulfinopropanoic acid"
"beta-Alaninebetaine","HILIC",1,NA,NA,NA,NA,NA,NA,"New4","Trimethylammonium Propionate (TMAP)","TMAP","TMAP","C6H13NO2",9.38,132.1018,"[M+H]","cpd:C08263","ChEBI:28825","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Tetraalkylammonium salts",TRUE,"beta-Alaninebetaine; beta-Alanine betaine; Propiobetaine; Trimethylalanine",NA,NA,"ACZVSMNFVFBOTM-UHFFFAOYSA-N","C[N+](C)(C)CCC(=O)[O-]","3-(trimethylazaniumyl)propanoate"
"N6,N6,N6-Trimethyl-L-lysine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Trimethyl-L-lysine","Trimethyl-L-lysine","Trimethyl L lysine","C9H20N2O2",17.14,189.160303,"[M+H]","cpd:C03793","ChEBI:165870","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"N6,N6,N6-Trimethyl-L-lysine",440120,"C9H20N2O2","MXNRLFUSFKVQSK-QMMMGPOBSA-N","C[N+](C)(C)CCCCC(C(=O)[O-])N","(2S)-2-amino-6-(trimethylazaniumyl)hexanoate"
"5-Methylcytosine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","5-Methylcytosine","5-Methylcytosine","Methylcytosine","C5H7N3O",5.53,126.066737,"[M+H]","cpd:C02376","ChEBI:27551","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Hydroxypyrimidines",TRUE,"5-Methylcytosine",65040,"C5H7N3O","LRSASMSXMSNRBT-UHFFFAOYSA-N","CC1=C(NC(=O)N=C1)N","6-amino-5-methyl-1H-pyrimidin-2-one"
"N6-Methyladenine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","6-Methyladenine","N6-Methyladenine","N6 Methyladenine","C6H7N5",3.97,150.07797,"[M+H]","cpd:C08434","ChEBI:28871","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines; level 6: 6-alkylaminopurines",TRUE,"6-Methylaminopurine; N6-Methyladenine",NA,NA,"CKOMXBHMKXXTNW-UHFFFAOYSA-N","CNC1=NC=NC2=C1NC=N2","N-methyl-7H-purin-6-amine"
"Carnosine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Carnosine","Carnosine","Carnosine","C9H14N4O3",10.47,227.114416,"[M+H]","cpd:C00386","ChEBI:15727","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides",TRUE,"Carnosine; Nalpha-(beta-alanyl)-L-histidine",439224,"C9H14N4O3","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid"
"Carnosine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","Carnosine","Carnosine","Carnosine","C9H14N4O3",10.47,225.098766,"[M-H]","cpd:C00386","ChEBI:15727","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides",FALSE,"Carnosine; Nalpha-(beta-alanyl)-L-histidine",439224,"C9H14N4O3","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid"
"N-Acetyl-D-glucosamine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","N-Acetylglucosamine","N-Acetylglucosamine","N Acetylglucosamine","C8H15NO6",8.55,222.097764,"[M+H]","cpd:C00140","ChEBI:506227","Aq",6,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars",TRUE,"N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc",NA,NA,"OVRNDRQMDRJTHS-RTRLPJTCSA-N","CC(=O)NC1C(C(C(OC1O)CO)O)O","N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide"
"beta-Glutamic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","beta-Glutamic acid","b-Glutamic acid","beta Glutamic acid","C5H9NO4",11.9,148.060984,"[M+H]",NA,NA,"Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Amino fatty acids",TRUE,NA,NA,NA,"BBJIPMIXTXKYLZ-UHFFFAOYSA-N","C(C(CC(=O)O)N)C(=O)O","3-aminopentanedioic acid"
"Anserine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Anserine","Anserine","Anserine","C10H16N4O3",8.55,241.130066,"[M+H]","cpd:C01262","ChEBI:18323","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides",TRUE,"beta-Alanyl-N(pi)-methyl-L-histidine; Anserine",112072,"C10H16N4O3","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid"
"Anserine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","Anserine","Anserine","Anserine","C10H16N4O3",8.55,239.114416,"[M-H]","cpd:C01262","ChEBI:18323","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides",FALSE,"beta-Alanyl-N(pi)-methyl-L-histidine; Anserine",112072,"C10H16N4O3","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1CC(C(=O)O)NC(=O)CCN","(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid"
"N-Acetylmuramic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","N-Acetylmuramic acid","MurNAc","MurNAc","C11H19NO8",3.35,294.118894,"[M+H]","cpd:C02713","ChEBI:21615","Aq",5,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars",TRUE,"N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate",NA,NA,"MNLRQHMNZILYPY-MKFCKLDKSA-N","CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C","(2R)-2-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid"
"N-Acetylmuramic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","N-Acetylmuramic acid","MurNAc","MurNAc","C11H19NO8",3.35,292.103244,"[M-H]","cpd:C02713","ChEBI:21615","Aq",5,"Mix2",190514,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars",FALSE,"N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate",NA,NA,"MNLRQHMNZILYPY-MKFCKLDKSA-N","CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C","(2R)-2-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid"
"Hypoxanthine","HILIC",1,NA,NA,NA,NA,NA,NA,"New5","Hypoxanthine","Hypoxanthine","Hypoxanthine","C5H4N4O",5.51,137.046336,"[M+H]","cpd:C00262","ChEBI:17368","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines",TRUE,"Hypoxanthine; Purine-6-ol",135398638,"C5H4N4O","FDGQSTZJBFJUBT-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC=N2","1,7-dihydropurin-6-one"
"Hypoxanthine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New5","Hypoxanthine","Hypoxanthine","Hypoxanthine","C5H4N4O",5.51,135.030686,"[M-H]","cpd:C00262","ChEBI:17368","Aq",4,"Mix2",190514,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines",FALSE,"Hypoxanthine; Purine-6-ol",135398638,"C5H4N4O","FDGQSTZJBFJUBT-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC=N2","1,7-dihydropurin-6-one"
"2,3-Pyridinedicarboxylic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New6","Pyridinedicarboxylic acid","Pyridinedicarboxylic acid","Pyridinedicarboxylic acid","C7H5NO4",10.17,168.029684,"[M+H]","cpd:C03722","ChEBI:16675","Aq",5,"Mix1",190715,"kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyridines and derivatives; subclass: Pyridinecarboxylic acids and derivatives; level 5: Pyridinecarboxylic acids",TRUE,"Quinolinate; Pyridine-2,3-dicarboxylate; Quinolinic acid; 2,3-Pyridinedicarboxylic acid",NA,NA,"GJAWHXHKYYXBSV-UHFFFAOYSA-N","C1=CC(=C(N=C1)C(=O)O)C(=O)O","pyridine-2,3-dicarboxylic acid"
"Threonic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New6","Threonic acid","Threonic acid","Threonic acid","C4H8O5",10.37,135.02935,"[M-H]","cpd:C01620","ChEBI:15908","Aq",4,"Mix1",190715,"kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Sugar acids and derivatives",TRUE,"Threonate; L-Threonate; (2R,3S)-2,3,4-Trihydroxybutanoic acid",151152,"C4H8O5","JPIJQSOTBSSVTP-GBXIJSLDSA-N","C(C(C(C(=O)O)O)O)O","(2S,3R)-2,3,4-trihydroxybutanoic acid"
"Propionylglycine","HILIC",-1,NA,NA,NA,NA,NA,NA,"New6","Propionylglycine","Propionylglycine","Propionylglycine","C5H9NO3",5.52,130.050419,"[M-H]",NA,NA,"Aq",5,"Mix1",190715,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: N-acyl-alpha amino acids and derivatives; level 8: N-acyl-alpha amino acids",TRUE,NA,NA,NA,"WOMAZEJKVZLLFE-UHFFFAOYSA-N","CCC(=O)NCC(=O)O","2-(propanoylamino)acetic acid"
