"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"alpha-Tocopherol","RP",1,"500 - >10000","0.473","33","5 - >10000","0.634","4.6","Vitamin (fat soluble)","Tocopherol (Vit E)","Vit E","C29H50O2",14.725,431.388905,"[M+H]","cpd:C02477","ChEBI:22470","CyanoAq","CyanoDCM",0.25,NA,160401,"alpha-Tocopherol; Vitamin E","Vit E","ChEBI:18145",NA,NA,NA,NA,NA,NA
"alpha-Tocotrienol","RP",1,"2500 - >10000","0.452","31.8","5 - >10000","0.702","2.8","Vitamin (fat soluble)","Tocotrienol","a-Tocotrienol","C29H44O2",13.88,425.341955,"[M+H]","cpd:C14153","ChEBI:33270","CyanoAq","CyanoDCM",0.25,NA,160401,"alpha-Tocotrienol","a Tocotrienol","ChEBI:33270",5282347,"C29H44O2","RZFHLOLGZPDCHJ-XZXLULOTSA-N","CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=C1O)C)C","(2R)-2,5,7,8-tetramethyl-2-[(3E,7E)-4,8,12-trimethyltrideca-3,7,11-trienyl]-3,4-dihydrochromen-6-ol",NA
"trans-Cinnamic acid","RP",1,"50 - >10000","0.467","4.2","500 - >10000","0.546","2.9","Lignin","trans cinnamic acid","trans-Cinnamic acid","C9H8O2",6.2,131.04969,"[M-OH]","cpd:C00423","ChEBI:35697","CyanoAq","CyanoDCM",0.25,NA,160401,"trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate","trans Cinnamic acid","ChEBI:15669",NA,NA,NA,NA,NA,NA
"Retinal","RP",1,"50 - >10000","0.635","21.8","5 - >10000","0.596","6.3","Vitamin rhodopsin","trans Retinal","Retinal","C20H28O",12.52,285.22184,"[M+H]","cpd:C00376","ChEBI:17898","CyanoAq","CyanoDCM",NA,NA,160401,"Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene","Retinal","ChEBI:17898",638015,"C20H28O","NCYCYZXNIZJOKI-OVSJKPMPSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C","(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",NA
"Trolox","RP",-1,NA,NA,NA,NA,NA,NA,"Antioxidant","Trolox","Trolox","C14H18O4",7,NA,NA,NA,"ChEBI:82625","CyanoAq","CyanoDCM",NA,NA,160401,NA,"Trolox",NA,40634,"C14H18O4","GLEVLJDDWXEYCO-UHFFFAOYSA-N","CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C","6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid",NA
"Thiotropocin","RP",1,"500 - >10000","0","223.6","50 - 5000","0.05","38.5","Antibiotic","Tropodithietic acid","Thiotropocin","C8H4O3S2",6.47,212.968013,"[M+H]","cpd:C12105","ChEBI:29694","CyanoAq","CyanoDCM",0.25,NA,160401,"Thiotropocin","Thiotropocin","ChEBI:29694",55977,"C8H4O3S2","RWJXTYSZCDAMCD-UHFFFAOYSA-N","C1=CC(=O)C2=C(C(=C1)S)SOC2=O","8-sulfanylcyclohepta[c]oxathiole-3,4-dione",NA
"Tryptophol","RP",1,"50 - >10000","0.801","1.8","50 - >10000","0.816","7","Phytohormone","Tryptamine","Tryptophol","C10H12N2",2.55,161.107872,"[M+H]","cpd:C00398","ChEBI:16765","CyanoAq","CyanoDCM",0.25,NA,160401,"Tryptamine; 3-(2-Aminoethyl)indole","Tryptophol","ChEBI:16765",10685,"C10H11NO","MBBOMCVGYCRMEA-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CCO","2-(1H-indol-3-yl)ethanol",NA
"Tryptamine, 2H4","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Tryptamine Hydrochloride, D4","Tryptamine Hydrochloride, D4","C10D4H8N2",2.55,165.1325,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",2.5,NA,160401,NA,"Tryptamine Hydrochloride D4",NA,NA,NA,NA,NA,NA,NA
"L-Tryptophan","RP",1,"5 - >10000","0.826","2","5 - >10000","0.64","1.3","Amino Acid","Tryptophan","Tryptophan","C11H12N2O2",2.07,205.097703,"[M+H]","cpd:C00078","ChEBI:16828","CyanoAq","CyanoDCM",0.25,NA,160401,"L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid","Tryptophan","ChEBI:16828",NA,NA,NA,NA,NA,NA
"Tryptophol","RP",1,"50 - >10000","0.907","5.9","5 - >10000","0.806","6.2","Phytohormone","Tryptophol","Tryptophol","C10H11NO",5.33,162.091889,"[M+H]","cpd:C00955","ChEBI:17890","CyanoAq","CyanoDCM",0.25,NA,160401,"Indole-3-ethanol; Tryptophol","Tryptophol","ChEBI:17890",10685,"C10H11NO","MBBOMCVGYCRMEA-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CCO","2-(1H-indol-3-yl)ethanol",NA
"L-Tyrosine","RP",1,NA,NA,NA,NA,NA,NA,"Amino Acid","Tyrosine","Tyrosine","C9H11NO3",1.01,182.081719,"[M+H]","cpd:C00082","ChEBI:17895","CyanoAq","CyanoDCM",NA,NA,160401,"L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","Tyrosine","ChEBI:17895",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Tyrosine_and_derivatives; level 8: Tyrosine_and_derivatives"
"Vanillic acid","RP",1,"2500 - >10000","0.952","13.3","50 - >10000","1.007","2.8","Lignin","Vanillic Acid","Vanillic acid","C8H8O4",4.115,169.050085,"[M+H]","cpd:C06672","ChEBI:30816","CyanoAq","CyanoDCM",0.25,NA,160401,"Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid","Vanillic acid","ChEBI:16632",8468,"C8H8O4","WKOLLVMJNQIZCI-UHFFFAOYSA-N","COC1=C(C=CC(=C1)C(=O)O)O","4-hydroxy-3-methoxybenzoic acid",NA
"Vanillin","RP",1,"50 - >10000","0.937","7.9","50 - >10000","0.749","4.7","Lignin","Vanillin","Vanillin","C8H8O3",4.69,153.05517,"[M+H]","cpd:C00755","ChEBI:18346","CyanoAq","CyanoDCM",0.25,NA,160401,"4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde","Vanillin","ChEBI:18346",1183,"C8H8O3","MWOOGOJBHIARFG-UHFFFAOYSA-N","COC1=C(C=CC(=C1)C=O)O","4-hydroxy-3-methoxybenzaldehyde",NA
"Thiamine","RP",1,"500 - >10000","0.34","3.2","50 - 2500","0.086","6.6","Vitamin","Vitamin B1","Vit B1","C12H17N4OS",0.69,265.112308,"[M]","cpd:C00378","ChEBI:18385","CyanoAq","CyanoDCM",0.25,NA,160401,"Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor","Thiamine","ChEBI:18385",1130,"C12H17N4OS+","JZRWCGZRTZMZEH-UHFFFAOYSA-N","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol",NA
"Riboflavin","RP",1,"5 - >10000","0.89","3.5","<0.5 - >10000","0.739","2.6","Vitamin","Vitamin B2","Vit B2","C17H20N4O6",4.39,377.146111,"[M+H]","cpd:C00255","ChEBI:17015","CyanoAq","CyanoDCM",0.25,NA,160401,"Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2","Riboflavin","ChEBI:17015",493570,"C17H20N4O6","AUNGANRZJHBGPY-SCRDCRAPSA-N","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O","7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]benzo[g]pteridine-2,4-dione",NA
"Nicotinic acid","RP",1,"50 - >10000","0.414","1.8","2500 - >10000","0.236","2.6","Vitamin","Vitamin B3","Vit B3","C6H5NO2",0.88,124.039854,"[M+H]","cpd:C00253","ChEBI:32544","CyanoAq","CyanoDCM",0.25,NA,160401,"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid","Nicotinic acid","ChEBI:15940",938,"C6H5NO2","PVNIIMVLHYAWGP-UHFFFAOYSA-N","C1=CC(=CN=C1)C(=O)O","pyridine-3-carboxylic acid","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyridines_and_derivatives; subclass: Pyridinecarboxylic_acids_and_derivatives; level 5: Pyridinecarboxylic_acids; level 6: Pyridinecarboxylic_acids; level 7: Pyridinecarboxylic_acids; level 8: Pyridinecarboxylic_acids"
"Pantothenic acid","RP",1,"May-00","0.403","10.7","<0.5 - 5000","0.103","12.5","Vitamin","Vitamin B5","Vit B5","C9H17NO5",1.17,220.118498,"[M+H]","cpd:C00864","ChEBI:7916","CyanoAq","CyanoDCM",0.25,NA,160401,"Pantothenate; Pantothenic acid; (R)-Pantothenate","Pantothenic acid","ChEBI:29032",6613,"C9H17NO5","GHOKWGTUZJEAQD-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCC(=O)O)O","3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid",NA
"Pyridoxol","RP",1,"5 - >10000","0.286","2.6","5000 - 5000","0.25","3.4","Vitamin","Vitamin B6","Pyridoxol","C8H11NO3",0.88,170.081719,"[M+H]","cpd:C00314","ChEBI:16709","CyanoAq","CyanoDCM",0.25,NA,160401,"Pyridoxine; Pyridoxol","Pyridoxol","ChEBI:16709",NA,NA,NA,NA,NA,NA
"Biotin","RP",1,"50 - >10000","0.788","5.1","5 - >10000","0.718","1.9","Vitamin","Vitamin B7","Vit B7","C10H16N2O3S",3.75,245.09599,"[M+H]","cpd:C00120","ChEBI:15956","CyanoAq","CyanoDCM",0.25,NA,160401,"Biotin; D-Biotin; Vitamin H; Coenzyme R","Biotin","ChEBI:15956",171548,"C10H16N2O3S","YBJHBAHKTGYVGT-ZKWXMUAHSA-N","C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2","5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid",NA
"Folic acid","RP",1,"50 - >10000","1.19","3.9","5 - >10000","0.873","3.4","Vitamin","Vitamin B9","Vit B9","C19H19N7O6",4.51,442.147508,"[M+H]","cpd:C00504","ChEBI:27470","CyanoAq","CyanoDCM",0.25,NA,160401,"Folate; Pteroylglutamic acid; Folic acid","Folic acid","ChEBI:27470",135398658,"C19H19N7O6","OVBPIULPVIDEAO-LBPRGKRZSA-N","C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N","(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",NA
"Ascorbic acid","RP",-1,NA,NA,NA,NA,NA,NA,"Vitamin","Vitamin C","Vit C","C6H8O6",0.8,NA,NA,"cpd:C00072","ChEBI:29073","CyanoAq","CyanoDCM",1,NA,160401,"Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C","Ascorbic acid","ChEBI:29073",54670067,"C6H8O6","CIWBSHSKHKDKBQ-JLAZNSOCSA-N","C(C(C1C(=C(C(=O)O1)O)O)O)O","(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",NA
"Calciferol","RP",1,"500 - >10000","0.409","12.7","50 - >10000","0.54","5.1","Vitamin (fat soluble)","Vitamin D2","Vit D2","C28H44O",13.75,397.34704,"[M+H]","cpd:C05441","ChEBI:28934","CyanoAq","CyanoDCM",1,NA,160401,"Vitamin D2; Ergocalciferol","Calciferol","ChEBI:28934",NA,NA,NA,NA,NA,NA
"Phytonadione","RP",1,"50 - >10000","0.903","12","<0.5 - >10000","0.683","8.2","Quinone","Vitamin K1","Vit K1","C31H46O2",14.78,451.357605,"[M+H]","cpd:C02059","ChEBI:18067","CyanoAq","CyanoDCM",0.25,NA,160401,"Phylloquinone; Vitamin K1; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone","Phytonadione","ChEBI:18067",5284607,"C31H46O2","MBWXNTAXLNYFJB-NKFFZRIASA-N","CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C","2-methyl-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione",NA
"Menaquinone","RP",1,"50 - >10000","0.58","10.1","<0.5 - >10000","0.703","4.7","Quinone","Vitamin K2","Vit K2","C31H40O2",14.14,445.310655,"[M+H]","cpd:C00828","ChEBI:16374","CyanoAq","CyanoDCM",0.25,NA,160401,"Menaquinone; Vitamin K2","Menaquinone","ChEBI:16374",NA,NA,NA,NA,NA,NA
"Xanthine","RP",1,NA,"0.243","7.5",NA,"0.274","3.5","Purine","Xanthine","Xanthine","C5H4N4O2",1.11,153.041251,"[M+H]","cpd:C00385","ChEBI:15318","CyanoAq","CyanoDCM",0.25,NA,160401,"Xanthine","Xanthine","ChEBI:17712",1188,"C5H4N4O2","LRFVTYWOQMYALW-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC(=O)N2","3,7-dihydropurine-2,6-dione",NA
"Zeatin","RP",-1,"nd","nd","nd","May-50","0.144","34.8","Phytohormone","Zeatin","Zeatin","C10H13N5O",2.02,NA,NA,"cpd:C00371","ChEBI:16522","CyanoAq","CyanoDCM",0.25,NA,160401,"Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Zeatin","Zeatin","ChEBI:16522",NA,NA,NA,NA,NA,NA
"2-Hydroxy-4-(methylthio)butyric acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"New","2-Hydroxy-4-(methylthio)butyric_acid","2-Hydroxy-4-(methylthio)butyric_acid","C5H10O3S",2.69,149.027242,"[M-H]",NA,NA,"HILICNeg",NA,5,"Mix1",170331,NA,"Hydroxy  methylthio butyric acid",NA,11427,"C5H10O3S","ONFOSYPQQXJWGS-UHFFFAOYSA-N","CSCCC(C(=O)O)O","2-hydroxy-4-methylsulfanylbutanoic acid",NA
"3-Sulfopyruvic acid","HILIC",-1,"1000 - >10000","1.078","23.1","20 - 1000","1.13","2.7","Sulfur","3-Sulfopyruvic Acid","3-Sulfopyruvic Acid","C3H4O6S",12.92,166.965037,"[M-H]","cpd:C05528","ChEBI:16894","HILICNeg",NA,4,"Mix2",160401,"3-Sulfopyruvate; 3-Sulfopyruvic acid","Sulfopyruvic Acid","ChEBI:16894",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Keto_acids_and_derivatives; subclass: Alpha-keto_acids_and_derivatives; level 5: Alpha-keto_acids_and_derivatives; level 6: Alpha-keto_acids_and_derivatives; level 7: Alpha-keto_acids_and_derivatives; level 8: Alpha-keto_acids_and_derivatives"
"Acetoacetyl-CoA","HILIC",-1,"100 - >10000","dl","dl","100 - >10000","0.055","69.1","Co-enzyme A","Acetoacetyl CoA","Acetoacetyl CoA","C25H40N7O18P3S",10.6,850.128524,"[M-H]","cpd:C00332","ChEBI:15345","HILICNeg",NA,4,"Mix1",160401,"Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA","Acetoacetyl CoA","ChEBI:15345",92153,"C25H40N7O18P3S","OJFDKHTZOUZBOS-CITAKDKDSA-N","CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: 3-oxo-acyl_CoAs; level 7: 3-oxo-acyl_CoAs; level 8: 3-oxo-acyl_CoAs"
"Acetyl-CoA","HILIC",-1,"20 - >10000","0.692","17.5","<10 - >10000","0.955","17.6","Co-enzyme A","Acetyl CoA","Acetyl-CoA","C23H38N7O17P3S",10.84,808.117959,"[M-H]","cpd:C00024","ChEBI:15351","HILICNeg",NA,4,"Mix1",160401,"Acetyl-CoA; Acetyl coenzyme A","Acetyl CoA","ChEBI:15351",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: Acyl_CoAs; level 7: Acyl_CoAs; level 8: Acyl_CoAs"
"Acetyl-CoA, 13C2","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Acetyl CoA, 13C2","Acetyl CoA, 13C2","C21C(13)2H38N7O17P3S",10.84,810.1252,"[M-H]",NA,NA,"HILICNeg",NA,1,NA,160401,NA,"Acetyl CoA 13C2",NA,NA,NA,NA,NA,NA,NA
"O-Acetylcarnitine","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","Acetyl-L-carnitine","carnitine","C9H17NO4",7.22,204.123584,"[M+H]","cpd:C02571","ChEBI:57589","HILICPos",NA,4,"Mix1",180130,"O-Acetylcarnitine; O-Acetyl-L-carnitine","carnitine","ChEBI:15960",439756,"C9H18NO4+","RDHQFKQIGNGIED-MRVPVSSYSA-O","CC(=O)OC(CC(=O)O)C[N+](C)(C)C","[(2R)-2-acetyloxy-3-carboxypropyl]-trimethylazanium","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines"
"cis-Aconitic acid","HILIC",-1,"500 - 1000","1.196","22.6","<10 - 1000","1.175","15.5","Organic Acid","Aconitic Acid","Aconitic acid","C6H6O6",14.21,173.008615,"[M-H]","cpd:C00417","ChEBI:32805","HILICNeg",NA,4,"Mix1",160401,"cis-Aconitate; cis-Aconitic acid","Aconitic acid","ChEBI:16383",643757,"C6H6O6","GTZCVFVGUGFEME-IWQZZHSRSA-N","C(C(=CC(=O)O)C(=O)O)C(=O)O","(Z)-prop-1-ene-1,2,3-tricarboxylic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Tricarboxylic_acids_and_derivatives; level 5: Tricarboxylic_acids_and_derivatives; level 6: Tricarboxylic_acids_and_derivatives; level 7: Tricarboxylic_acids_and_derivatives; level 8: Tricarboxylic_acids_and_derivatives"
"Adenine","HILIC",1,NA,NA,NA,NA,NA,NA,"Nucleic Acid","Adenine","Adenine","C5H5N5",4.72,136.06232,"[M+H]","cpd:C00147","ChEBI:16708","HILICPos",NA,4,"Mix1",160401,"Adenine; 6-Aminopurine","Adenine","ChEBI:16708",190,"C5H5N5","GFFGJBXGBJISGV-UHFFFAOYSA-N","C1=NC2=NC=NC(=C2N1)N","7H-purin-6-amine","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: 6-aminopurines; level 6: 6-aminopurines; level 7: 6-aminopurines; level 8: 6-aminopurines"
"Adenine","HILIC",-1,"100 - >10000","0.952","22.9","<10 - 1000","1.107","6.1","Nucleic Acid","Adenine","Adenine","C5H5N5",4.72,134.0462,"[M-H]","cpd:C00147","ChEBI:16708","HILICNeg",NA,4,"Mix1",160401,"Adenine; 6-Aminopurine","Adenine","ChEBI:16708",190,"C5H5N5","GFFGJBXGBJISGV-UHFFFAOYSA-N","C1=NC2=NC=NC(=C2N1)N","7H-purin-6-amine","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: 6-aminopurines; level 6: 6-aminopurines; level 7: 6-aminopurines; level 8: 6-aminopurines"
"Adenosine","HILIC",1,NA,NA,NA,NA,NA,NA,"Nucleoside","Adenosine","Adenosine","C10H13N5O4",4.46,268.10458,"[M+H]","cpd:C00212","ChEBI:16335","HILICPos",NA,4,"Mix2",160401,"Adenosine","Adenosine","ChEBI:16335",60961,"C10H13N5O4","OIRDTQYFTABQOQ-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides"
"Adenosine","HILIC",-1,"500 - >10000","0.836","12.1","100 - >10000","0.811","22.1","Nucleoside","Adenosine","Adenosine","C10H13N5O4",4.46,266.08948,"[M-H]","cpd:C00212","ChEBI:16335","HILICNeg",NA,4,"Mix2",160401,"Adenosine","Adenosine","ChEBI:16335",60961,"C10H13N5O4","OIRDTQYFTABQOQ-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides"
"Adenosine monophosphate, 15N5","HILIC",-1,NA,NA,NA,NA,NA,NA,"Internal Standard","Adenosine Monophosphate, 15N5","Adenosine Monophosphate, 15N5","C10H13N(15)5O7P",11.585,351.0411,"[M-H]",NA,NA,"HILICNeg",NA,5,NA,170301,NA,"Adenosine Monophosphate 15N5",NA,NA,NA,NA,NA,NA,NA
"S-Adenosylhomocysteine","HILIC",1,"100 - >10000","0.81","18.9","<10 - 1000","0.7","11.9","Amino Acid synthesis","Adenosyl Homocysteine","SAH","C14H20N6O5S",10.85,385.129416,"[M+H]","cpd:C00021","ChEBI:16680","HILICPos",NA,4,"Mix1",160401,"S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","SAH","ChEBI:16680",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: 5-deoxyribonucleosides; subclass: 5-deoxy-5-thionucleosides; level 5: 5-deoxy-5-thionucleosides; level 6: 5-deoxy-5-thionucleosides; level 7: 5-deoxy-5-thionucleosides; level 8: 5-deoxy-5-thionucleosides"
"S-Adenosylmethionine","HILIC",1,"1000 - >10000","0.817","35.3","20 - >10000","1.066","22.8","Amino Acid synthesis","Adenosyl Methionine","SAM","C15H22N6O5S",13.01,399.145066,"[M+H]","cpd:C00019","ChEBI:15414","HILICPos",NA,4,"Mix1",160401,"S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","SAM","ChEBI:15414",34755,"C15H22N6O5S","MEFKEPWMEQBLKI-AIRLBKTGSA-N","C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: 5-deoxyribonucleosides; subclass: 5-deoxy-5-thionucleosides; level 5: 5-deoxy-5-thionucleosides; level 6: 5-deoxy-5-thionucleosides; level 7: 5-deoxy-5-thionucleosides; level 8: 5-deoxy-5-thionucleosides"
"Adenosine diphosphate","HILIC",-1,"100 - >10000","0.23","26.4","100 - >10000","1.108","17","Energy charge","ADP","ADP","C10H15N5O10P2",12.09,426.021596,"[M-H]","cpd:C00008","ChEBI:16761","HILICNeg",NA,4,"Mix2",160401,"ADP; Adenosine 5'-diphosphate","Adenosine diphosphate","ChEBI:16761",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_diphosphates; level 6: Purine_ribonucleoside_diphosphates; level 7: Purine_ribonucleoside_diphosphates; level 8: Purine_ribonucleoside_diphosphates"
"L-Alanine","HILIC",1,"1000 - >10000","0.903","8.5","20 - >10000","0.814","9.8","Amino Acid","Alanine","Alanine","C3H7NO2",11.3,90.055504,"[M+H]","cpd:C00041","ChEBI:16977","HILICPos",NA,4,"Mix1",160401,"L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine","Alanine","ChEBI:16977",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alanine_and_derivatives; level 8: Alanine_and_derivatives"
"3-Aminopropanesulfonate","HILIC",-1,NA,NA,NA,NA,NA,NA,"Sulfur","Amino Propanesulfonic Acid","Amino Propanesulfonic Acid","C3H9NO3S",11.49,138.022491,"[M-H]",NA,NA,"HILICNeg",NA,4,"Mix2",160401,NA,"Amino Propanesulfonic Acid",NA,NA,NA,NA,NA,NA,NA
"4-Aminobutyric acid","HILIC",1,"1000 - >10000","0.868","14.2","20 - >10000","0.895","7.6","Amino Acid - degraded","Aminobutyric Acid","Aminobutyric Acid","C4H9NO2",11.155,104.071154,"[M+H]","cpd:C00334","ChEBI:16865","HILICPos",NA,4,"Mix1",160401,"4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA","Aminobutyric Acid","ChEBI:16865",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Gamma_amino_acids_and_derivatives; level 7: Gamma_amino_acids_and_derivatives; level 8: Gamma_amino_acids_and_derivatives"
