"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"beta-Alanine",90.055504,11.39,1,"HILIC","Mix2",4,"[M+H]","Aq","Amino Acid derivative","C3H7NO2","C3H7NO2",239,"cpd:C00099","beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate","ChEBI:16958","3-aminopropanoic acid","UCMIRNVEIXFBKS-UHFFFAOYSA-N","C(CN)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Beta amino acids and derivatives","beta-Alanine","b-Alanine","beta Alanine",180701,TRUE
"Melamine",127.073219,6.68,1,"HILIC","Mix2",4,"[M+H]","Aq","Cursed","C3H6N6","C3H6N6",7955,"cpd:C08737","Melamine; 2,4,6-Triamino-1,3,5-triazine","ChEBI:27915","1,3,5-triazine-2,4,6-triamine","JDSHMPZPIAZGSV-UHFFFAOYSA-N","C1(=NC(=NC(=N1)N)N)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Triazines; subclass: 1,3,5-triazines","Melamine","Melamine","Melamine",180701,TRUE
"Maltose",341.10839,12.31,-1,"HILIC","Mix2",4,"[M-H]","Aq","Sugar","C12H22O11","C12H22O11",439341,"cpd:C00208","Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose","ChEBI:17306","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol","GUBGYTABKSRVRQ-ASMJPISFSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds","Maltose","Maltose","Maltose",180701,TRUE
"Lactose",341.10839,12.53,-1,"HILIC","Mix2",4,"[M-H]","Aq","Sugar","C12H22O11",NA,NA,"cpd:C00243","Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar","ChEBI:17716","(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol","GUBGYTABKSRVRQ-DCSYEGIMSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds","Lactose","Lactose","Lactose",180701,TRUE
"Lactose",343.12404,12.53,1,"HILIC","Mix2",4,"[M+H]","Aq","Sugar","C12H22O11",NA,NA,"cpd:C00243","Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar","ChEBI:17716","(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol","GUBGYTABKSRVRQ-DCSYEGIMSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Glycosyl compounds; level 6: O-glycosyl compounds","Lactose","Lactose","Lactose",180701,FALSE
"Gonyol",179.074191,10.74,1,"HILIC","Mix2",4,"[M+H]","Aq","Sulfur","C7H14O3S",NA,NA,NA,NA,NA,"(3S)-5-(Dimethylsulfonio)-3-hydroxypentanoate","BGFHLXJVANJCHK-ZCFIWIBFSA-N","C[S+](C)CCC(CC(=O)[O-])O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Hydroxy acids and derivatives; subclass: Beta hydroxy acids and derivatives","Gonyol","Gonyol","Gonyol",180701,TRUE
"Betonicine",160.097369,8.45,1,"HILIC","Mix2",4,"[M+H]","Aq","Betaine","C7H13NO3","C7H13NO3",164642,"cpd:C08269","(-)-Betonicine; Betonicine; trans-4-Hydroxy-L-proline betaine","ChEBI:85533","(2S,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate","MUNWAHDYFVYIKH-RITPCOANSA-N","C[N+]1(CC(CC1C(=O)[O-])O)C","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Proline and derivatives","Betonicine","Betonicine","Betonicine",180701,TRUE
"O-Methylmalonyl-L-carnitine",262.129063,9.67,1,"HILIC","Mix2",4,"[M+H]","Aq","Betaine","C11H19NO6","C11H19NO6",91825610,NA,NA,NA,"(3R)-3-(2-carboxypropanoyloxy)-4-(trimethylazaniumyl)butanoate","XROYFEWIXXCPAW-BRFYHDHCSA-N","CC(C(=O)O)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines","Methylmalonyl carnitine","MMC","MMC",180701,TRUE
"Succinic semialdehyde",101.02387,6.51,-1,"HILIC","Mix2",4,"[M-H]","Aq","Amino Acid - degraded","C4H6O3","C4H6O3",1112,"cpd:C00232","Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate","ChEBI:16265","4-oxobutanoic acid","UIUJIQZEACWQSV-UHFFFAOYSA-N","C(CC(=O)O)C=O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Straight chain fatty acids","Succinic semialdehyde","SSA","Succinic semialdehyde",180701,TRUE
"Arsenobetaine",179.005326,7.06,1,"HILIC","Mix2",4,"[M+H]","Aq","Arsenic","C5H11AsO2","C5H11AsO2",47364,"cpd:C19331","Arsenobetaine","ChEBI:82392","2-trimethylarsoniumylacetate","SPTHHTGLGVZZRH-UHFFFAOYSA-N","C[As+](C)(C)CC(=O)[O-]","kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts; kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts","Arsenobetaine","Arsenobetaine","Arsenobetaine",180701,TRUE
"Dexpanthenol",206.139234,2.27,1,"HILIC","Mix2",4,"[M+H]","Aq","Vitamin (B-like)","C9H19NO4","C9H19NO4",131204,"cpd:C05944","Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic","ChEBI:27373","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide","SNPLKNRPJHDVJA-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCCO)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols","Dexpanthenol","Dexpanthenol","Dexpanthenol",180701,FALSE
"Inosine",269.088596,7.57,1,"HILIC","Mix2",4,"[M+H]","Aq","Purine derivative","C10H12N4O5","C10H12N4O5",135398641,"cpd:C00294","Inosine","ChEBI:17596","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Inosine","Inosine","Inosine",180701,FALSE
"Inosine",267.072946,7.57,-1,"HILIC","Mix2",4,"[M-H]","Aq","Purine derivative","C10H12N4O5","C10H12N4O5",135398641,"cpd:C00294","Inosine","ChEBI:17596","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Inosine","Inosine","Inosine",180701,TRUE
"Hordenine",166.123189,3.34,1,"HILIC","Mix2",4,"[M+H]","Aq","New3","C10H15NO","C10H15NO",68313,"cpd:C06199","Hordenine; 4-[2-(Dimethylamino)ethyl]phenol","ChEBI:5764","4-[2-(dimethylamino)ethyl]phenol","KUBCEEMXQZUPDQ-UHFFFAOYSA-N","CN(C)CCC1=CC=C(C=C1)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Phenethylamines; kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Phenethylamines","Hordenine","Hordenine","Hordenine",180701,TRUE
"Allopurinol",137.046336,4.16,1,"HILIC","Mix2",4,"[M+H]","Aq","Purine derivative","C5H4N4O","C5H4N4O",135401907,NA,NA,NA,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines","Allopurinol","Allopurinol","Allopurinol",180701,FALSE
"Allopurinol",135.030686,4.16,-1,"HILIC","Mix2",4,"[M-H]","Aq","Purine derivative","C5H4N4O","C5H4N4O",135401907,NA,NA,NA,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines","Allopurinol","Allopurinol","Allopurinol",180701,TRUE
"Acetylcholine",146.118104,13.37,1,"HILIC","Mix2",4,"[M]","Aq","Betaine","C7H16NO2","C7H16NO2+",187,"cpd:C01996","Acetylcholine; O-Acetylcholine","ChEBI:15355","2-acetyloxyethyl(trimethyl)azanium","OIPILFWXSMYKGL-UHFFFAOYSA-N","CC(=O)OCC[N+](C)(C)C","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines; level 6: Acyl cholines","Acetylcholine","Acetylcholine","Acetylcholine",190514,TRUE
"L-Cysteinesulfinic acid",154.017406,10.74,1,"HILIC","Mix2",5,"[M+H]","Aq","Sulfur","C3H7NO4S","C3H7NO4S",1549098,"cpd:C00606","3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine","ChEBI:16345","(2R)-2-amino-3-sulfinopropanoic acid","ADVPTQAUNPRNPO-REOHCLBHSA-N","C(C(C(=O)O)N)S(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Cysteinesulfinic acid","CSA","CSA",190514,FALSE
"L-Cysteinesulfinic acid",152.001756,10.74,-1,"HILIC","Mix2",5,"[M-H]","Aq","Sulfur","C3H7NO4S","C3H7NO4S",1549098,"cpd:C00606","3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine","ChEBI:16345","(2R)-2-amino-3-sulfinopropanoic acid","ADVPTQAUNPRNPO-REOHCLBHSA-N","C(C(C(=O)O)N)S(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Cysteinesulfinic acid","CSA","CSA",190514,TRUE
"beta-Alaninebetaine",132.1018,9.38,1,"HILIC","Mix2",4,"[M+H]","Aq","Betaine","C6H13NO2",NA,NA,"cpd:C08263","beta-Alaninebetaine; beta-Alanine betaine; Propiobetaine; Trimethylalanine","ChEBI:28825","3-(trimethylazaniumyl)propanoate","ACZVSMNFVFBOTM-UHFFFAOYSA-N","C[N+](C)(C)CCC(=O)[O-]","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Tetraalkylammonium salts","Trimethylammonium Propionate (TMAP)","TMAP","TMAP",190514,TRUE
"N6,N6,N6-Trimethyl-L-lysine",189.160303,17.14,1,"HILIC","Mix2",4,"[M+H]","Aq","Betaine","C9H20N2O2","C9H20N2O2",440120,"cpd:C03793","N6,N6,N6-Trimethyl-L-lysine","ChEBI:165870","(2S)-2-amino-6-(trimethylazaniumyl)hexanoate","MXNRLFUSFKVQSK-QMMMGPOBSA-N","C[N+](C)(C)CCCCC(C(=O)[O-])N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Trimethyl-L-lysine","Trimethyl-L-lysine","Trimethyl L lysine",190514,TRUE
"5-Methylcytosine",126.066737,5.53,1,"HILIC","Mix2",4,"[M+H]","Aq","Pyrimidine derivative","C5H7N3O","C5H7N3O",65040,"cpd:C02376","5-Methylcytosine","ChEBI:27551","6-amino-5-methyl-1H-pyrimidin-2-one","LRSASMSXMSNRBT-UHFFFAOYSA-N","CC1=C(NC(=O)N=C1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Hydroxypyrimidines","5-Methylcytosine","5-Methylcytosine","Methylcytosine",190514,TRUE
"N6-Methyladenine",150.07797,3.97,1,"HILIC","Mix2",4,"[M+H]","Aq","Purine derivative","C6H7N5",NA,NA,"cpd:C08434","6-Methylaminopurine; N6-Methyladenine","ChEBI:28871","N-methyl-7H-purin-6-amine","CKOMXBHMKXXTNW-UHFFFAOYSA-N","CNC1=NC=NC2=C1NC=N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines; level 6: 6-alkylaminopurines","6-Methyladenine","N6-Methyladenine","N6 Methyladenine",190514,TRUE
"Carnosine",227.114416,10.47,1,"HILIC","Mix2",4,"[M+H]","Aq","Dipeptide","C9H14N4O3","C9H14N4O3",439224,"cpd:C00386","Carnosine; Nalpha-(beta-alanyl)-L-histidine","ChEBI:15727","(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides","Carnosine","Carnosine","Carnosine",190514,TRUE
"Carnosine",225.098766,10.47,-1,"HILIC","Mix2",4,"[M-H]","Aq","Dipeptide","C9H14N4O3","C9H14N4O3",439224,"cpd:C00386","Carnosine; Nalpha-(beta-alanyl)-L-histidine","ChEBI:15727","(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides","Carnosine","Carnosine","Carnosine",190514,FALSE
"N-Acetyl-D-glucosamine",222.097764,8.55,1,"HILIC","Mix2",6,"[M+H]","Aq","Amino sugar","C8H15NO6",NA,NA,"cpd:C00140","N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc","ChEBI:506227","N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide","OVRNDRQMDRJTHS-RTRLPJTCSA-N","CC(=O)NC1C(C(C(OC1O)CO)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars","N-Acetylglucosamine","N-Acetylglucosamine","N Acetylglucosamine",190514,TRUE
"beta-Glutamic acid",148.060984,11.9,1,"HILIC","Mix2",4,"[M+H]","Aq","Amino Acid derivative","C5H9NO4",NA,NA,NA,NA,NA,"3-aminopentanedioic acid","BBJIPMIXTXKYLZ-UHFFFAOYSA-N","C(C(CC(=O)O)N)C(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Amino fatty acids","beta-Glutamic acid","b-Glutamic acid","beta Glutamic acid",190514,TRUE
"Anserine",241.130066,8.55,1,"HILIC","Mix2",4,"[M+H]","Aq","Dipeptide","C10H16N4O3","C10H16N4O3",112072,"cpd:C01262","beta-Alanyl-N(pi)-methyl-L-histidine; Anserine","ChEBI:18323","(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1CC(C(=O)O)NC(=O)CCN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides","Anserine","Anserine","Anserine",190514,TRUE
"Anserine",239.114416,8.55,-1,"HILIC","Mix2",4,"[M-H]","Aq","Dipeptide","C10H16N4O3","C10H16N4O3",112072,"cpd:C01262","beta-Alanyl-N(pi)-methyl-L-histidine; Anserine","ChEBI:18323","(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1CC(C(=O)O)NC(=O)CCN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides","Anserine","Anserine","Anserine",190514,FALSE
"N-Acetylmuramic acid",294.118894,3.35,1,"HILIC","Mix2",5,"[M+H]","Aq","Amino sugar","C11H19NO8",NA,NA,"cpd:C02713","N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate","ChEBI:21615","(2R)-2-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid","MNLRQHMNZILYPY-MKFCKLDKSA-N","CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars","N-Acetylmuramic acid","MurNAc","MurNAc",190514,TRUE
"N-Acetylmuramic acid",292.103244,3.35,-1,"HILIC","Mix2",5,"[M-H]","Aq","Amino sugar","C11H19NO8",NA,NA,"cpd:C02713","N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate","ChEBI:21615","(2R)-2-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid","MNLRQHMNZILYPY-MKFCKLDKSA-N","CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: Amino sugars; level 7: Acylaminosugars","N-Acetylmuramic acid","MurNAc","MurNAc",190514,FALSE
"Hypoxanthine",137.046336,5.51,1,"HILIC","Mix2",4,"[M+H]","Aq","Purine derivative","C5H4N4O","C5H4N4O",135398638,"cpd:C00262","Hypoxanthine; Purine-6-ol","ChEBI:17368","1,7-dihydropurin-6-one","FDGQSTZJBFJUBT-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC=N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines","Hypoxanthine","Hypoxanthine","Hypoxanthine",190514,TRUE
"Hypoxanthine",135.030686,5.51,-1,"HILIC","Mix2",4,"[M-H]","Aq","Purine derivative","C5H4N4O","C5H4N4O",135398638,"cpd:C00262","Hypoxanthine; Purine-6-ol","ChEBI:17368","1,7-dihydropurin-6-one","FDGQSTZJBFJUBT-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC=N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Purinones; level 6: Hypoxanthines","Hypoxanthine","Hypoxanthine","Hypoxanthine",190514,FALSE
"2,3-Pyridinedicarboxylic acid",168.029684,10.17,1,"HILIC","Mix1",5,"[M+H]","Aq","Pyrimidine derivative","C7H5NO4",NA,NA,"cpd:C03722","Quinolinate; Pyridine-2,3-dicarboxylate; Quinolinic acid; 2,3-Pyridinedicarboxylic acid","ChEBI:16675","pyridine-2,3-dicarboxylic acid","GJAWHXHKYYXBSV-UHFFFAOYSA-N","C1=CC(=C(N=C1)C(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyridines and derivatives; subclass: Pyridinecarboxylic acids and derivatives; level 5: Pyridinecarboxylic acids","Pyridinedicarboxylic acid","Pyridinedicarboxylic acid","Pyridinedicarboxylic acid",190715,TRUE
"Threonic acid",135.02935,10.37,-1,"HILIC","Mix1",4,"[M-H]","Aq","Sugar","C4H8O5","C4H8O5",151152,"cpd:C01620","Threonate; L-Threonate; (2R,3S)-2,3,4-Trihydroxybutanoic acid","ChEBI:15908","(2S,3R)-2,3,4-trihydroxybutanoic acid","JPIJQSOTBSSVTP-GBXIJSLDSA-N","C(C(C(C(=O)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Sugar acids and derivatives","Threonic acid","Threonic acid","Threonic acid",190715,TRUE
"Propionylglycine",130.050419,5.52,-1,"HILIC","Mix1",5,"[M-H]","Aq","Amino Acid derivative","C5H9NO3",NA,NA,NA,NA,NA,"2-(propanoylamino)acetic acid","WOMAZEJKVZLLFE-UHFFFAOYSA-N","CCC(=O)NCC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: N-acyl-alpha amino acids and derivatives; level 8: N-acyl-alpha amino acids","Propionylglycine","Propionylglycine","Propionylglycine",190715,TRUE
"Succinylglycine",176.055899,12.58,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid derivative","C6H9NO5","C6H9NO5",14954082,NA,NA,NA,"4-(carboxymethylamino)-4-oxobutanoic acid","HQESMQVYRAJTEA-UHFFFAOYSA-N","C(CC(=O)O)C(=O)NCC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: N-acyl-alpha amino acids and derivatives; level 8: N-acyl-alpha amino acids","Succinylglycine","Succinylglycine","Succinylglycine",190715,TRUE
