"C0","Latest.ChEBI","Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","name"
"cpd:C00051","ChEBI:16856","Antioxidant","HILIC","Glutathione","Glutathione","Glutathione","Glutathione","100 - >10000","0.112","23.3","20 - >10000","0.143","19.1","C10H17N3O6S",12,308.091634,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:16856","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione"
"cpd:C00127","ChEBI:167606","Sulfur","RP","Glutathione disulfide","Glutathione Disulfide","GSSG","Glutathione disulfide",NA,NA,NA,NA,NA,NA,"C20H32N6O12S2",0.92,613.159793,"[M+H]",1,"CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:17858","Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione","Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione"
"cpd:C00127","ChEBI:167606","Sulfur","HILIC","Glutathione disulfide","Glutathione Disulfide","GSSG","Glutathione disulfide",NA,NA,NA,NA,NA,NA,"C20H32N6O12S2",14.98,613.159793,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:17858","Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione","Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione"
"cpd:C00670","ChEBI:16870","New2","RP","Glycerophosphocholine","Glycerophosphocholine","GPP","Glycerophosphocholine",NA,NA,NA,NA,NA,NA,"C8H21NO6P",0.66,258.110652,"[M]",1,"CyanoAq","CyanoDCM",NA,NA,180130,"ChEBI:36313","sn-Glycero-3-phosphocholine; Glycerophosphocholine","sn-Glycero-3-phosphocholine; Glycerophosphocholine"
"cpd:C00670","ChEBI:16870","New2","HILIC","Glycerophosphocholine","Glycerophosphocholine","GPP","Glycerophosphocholine",NA,NA,NA,NA,NA,NA,"C8H21NO6P",10.86,258.110652,"[M]",1,"HILICPos",NA,4,"Mix1",180130,"ChEBI:36313","sn-Glycero-3-phosphocholine; Glycerophosphocholine","sn-Glycero-3-phosphocholine; Glycerophosphocholine"
"cpd:C20643",NA,"Quorum sensing","RP","2-Heptyl-4(1H)-quinolone","HHQ","HHQ","HHQ","<0.5 - >10000","0.949","3.7","<0.5 - 50","0.948","1.4","C16H21NO",11.02,244.170139,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:62219","2-Heptyl-4(1H)-quinolone; 2-Heptyl-4-quinolone; 2-Heptyl-4-hydroxyquinoline","2-Heptyl-4(1H)-quinolone; 2-Heptyl-4-quinolone; 2-Heptyl-4-hydroxyquinoline"
"cpd:C02926","ChEBI:17289","New2","RP","Homoserine lactone","Homoserine lactone","AHL","Homoserine lactone",NA,NA,NA,NA,NA,NA,"C4H7NO2",0.68,102.055504,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,180130,"ChEBI:17289","Homoserine lactone; 2-Aminobutan-4-olide","Homoserine lactone; 2-Aminobutan-4-olide"
"cpd:C08230","ChEBI:27786","Vitamin B12","RP","Hydroxocobalamin","Hydroxo B12","Hydroxo B12","Hydroxocobalamin","50 - >10000","0.662","2.7","50 - >10000","0.452","5.2","C62H89CoN13O15P",4.35,664.7861,"[2M-OH]",2,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:27786","Hydroxocobalamin; Vitamin B12a; Hydroxycobalamin; Hydroxycob(lll)alamin","Hydroxocobalamin; Vitamin B12a; Hydroxycobalamin; Hydroxycob(lll)alamin"
"cpd:C00954","ChEBI:16411","Phytohormone","RP","Indole-3-acetic acid","IAA","IAA","IAA","50 - >10000","0.904","3.2","<0.5 - >10000","0.757","4.4","C10H9NO2",5.41,176.071154,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16411","Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; IAA","Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; (1H-indol-3-yl)acetate; IAA"
"cpd:C02693","ChEBI:16031","Phytohormone","RP","Indole-3-acetamide","Indole 3 acetamide","Indole 3 acetamide","Indole 3 acetamide","50 - >10000","0.967","3.2","5 - >10000","0.844","5.8","C10H10N2O",4.02,175.087138,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16031","(Indol-3-yl)acetamide; Indole-3-acetamide","(Indol-3-yl)acetamide; Indole-3-acetamide"
"cpd:C19837",NA,"Phytohormone","RP","Indole-3-carboxylic acid","Indole 3 carboxylic acid","Indole-3-carboxylic acid","Indole 3 carboxylic acid","50 - >10000","0.92","13.5","5 - >10000","0.824","3.7","C9H7NO2",5.44,162.055503,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:24809","Indole-3-carboxylate; Indole-3-carboxylic acid","Indole-3-carboxylate; Indole-3-carboxylic acid"
"cpd:C02043","ChEBI:17282","Phytohormone","RP","Indolelactate","Indole 3 Lactic Acid","Indole 3 Lactic Acid","Indolelactate","50 - >10000","1.867","1.5","5 - >10000","0.843","4.8","C11H11NO3",4.65,206.081719,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:24813","Indolelactate","Indolelactate"
"cpd:C20635",NA,"Phytohormone","RP","Methyl indole-3-acetate","Indole 3 methyl acetate","Indole-3-methyl acetate","Indole 3 methyl acetate","50 - >10000","0.933","5.1","5 - >10000","0.754","2.6","C11H11NO2",7.31,190.086804,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:72782","Methyl (indol-3-yl)acetate","Methyl (indol-3-yl)acetate"
"cpd:C08272","ChEBI:27407","Phytohormone","RP","Kinetin","Kinetin","Kinetin","Kinetin","5000 - >10000","0.962","6.1","<0.5 - >10000","0.879","0.9","C10H9N5O",3.37,216.088535,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:27407","Kinetin; 6-Furfuryladenine","Kinetin; 6-Furfuryladenine"
"cpd:C00328","ChEBI:16946","Amino Acid","RP","L-Kynurenine","Kynurenine","Kynurenine","Kynurenine",NA,"0.564","4.1",NA,"0.482","4.6","C10H12N2O3",1.27,209.092618,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16946","L-Kynurenine; 3-Anthraniloyl-L-alanine","L-Kynurenine; 3-Anthraniloyl-L-alanine"
"cpd:C00328","ChEBI:16946","Amino Acid","HILIC","L-Kynurenine","Kynurenine","Kynurenine","Kynurenine",NA,NA,NA,NA,NA,NA,"C10H12N2O3",4.345,209.092618,"[M+H]",1,"HILICPos",NA,NA,NA,160401,"ChEBI:16946","L-Kynurenine; 3-Anthraniloyl-L-alanine","L-Kynurenine; 3-Anthraniloyl-L-alanine"
"cpd:C01598","ChEBI:16796","Circadian","RP","Melatonin","Melatonin","Melatonin","Melatonin","5 - >10000","1.492","3.3","<0.5 - 500","1.121","1","C13H16N2O2",6.51,233.129003,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16796","Melatonin; N-Acetyl-5-methoxytryptamine","Melatonin; N-Acetyl-5-methoxytryptamine"
"cpd:C06453","ChEBI:28115","Vitamin B12","RP","Methylcobalamin","Methyl B12","Methyl B12","Methylcobalamin","50 - >10000","1.216","5.8","May-00","0.706","3.9","C63H91CoN13O14P",6.29,672.8011,"[2M+H]",2,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:28115","Methylcobalamin; Methylcob(III)alamin","Methylcobalamin; Methylcob(III)alamin"
"cpd:C00170","ChEBI:17509","Sulfur","RP","Methylthioadenosine","Methylthioadenosine","MTA","Methylthioadenosine",NA,NA,NA,NA,NA,NA,"C11H15N5O3S",2.1,298.097387,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17509","5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA","5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA; 5'-Deoxy-5'-(methylsulfanyl)adenosine"
"cpd:C06693","ChEBI:27617","Antibiotic","RP","Monesin","Monesin","Monesin","Monesin","50 - >10000","1.97","4.7","<0.5 - >10000","3.839","6.3","C36H61NaO11",11.79,693.418985,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,"Monensin; Monensin A"
"cpd:C21016",NA,"New2","RP","Ophthalmic acid","Ophthalmic Acid","Ophthalmic Acid","Ophthalmic acid",NA,NA,NA,NA,NA,NA,"C11H19N3O6",0.77,290.135212,"[M+H]",1,"CyanoAq","CyanoDCM",NA,NA,180130,"ChEBI:84058",NA,"Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine"
"cpd:C21016",NA,"New2","HILIC","Ophthalmic acid","Ophthalmic Acid","Ophthalmic Acid","Ophthalmic acid",NA,NA,NA,NA,NA,NA,"C11H19N3O6",10.73,290.135212,"[M+H]",1,"HILICPos",NA,5,"Mix1",180130,"ChEBI:84058",NA,"Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine"
"cpd:C00811","ChEBI:32374","Lignin","RP","p-Coumaric acid","p-Coumaric Acid","p-Coumaric Acid","p Coumaric Acid","<0.5 - >10000","0","dl","50 - >10000","0.545","8.2","C9H8O3",5.385,165.05517,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:36090","4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate","4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate"
"cpd:C20677",NA,"Quorum sensing","RP","N-(4-Coumaroyl)-L-homoserine lactone","p-Coumoroyl-HSL","p-Coumoroyl-HSL","p Coumoroyl HSL","5 - >10000","0.448","1.6","5 - >10000","0.237","5.3","C13H13NO4",5.46,248.092284,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:74974","N-(4-Coumaroyl)-L-homoserine lactone","N-(4-Coumaroyl)-L-homoserine lactone"
"cpd:C00079","ChEBI:17295","Amino Acid","RP","L-Phenylalanine","Phenylalanine","Phenylalanine","Phenylalanine","5 - >10000","0.632","2.1","<0.5 - >10000","0.438","2.7","C9H11NO2",1.15,166.086804,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17295","L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid","L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid"
"cpd:C03017","ChEBI:28867","New2","RP","O-Propionylcarnitine","Propionyl-L-carnitine","O-Propionylcarnitine","O Propionylcarnitine",NA,NA,NA,NA,NA,NA,"C10H19NO4",0.99,218.139234,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,180130,"ChEBI:74974","O-Propanoylcarnitine; O-Propionylcarnitine","O-Propanoylcarnitine; O-Propionylcarnitine"
"cpd:C03017","ChEBI:28867","New2","HILIC","O-Propionylcarnitine","Propionyl-L-carnitine","O-Propionylcarnitine","O Propionylcarnitine",NA,NA,NA,NA,NA,NA,"C10H19NO4",5.63,218.139234,"[M+H]",1,"HILICPos",NA,4,"Mix1",180130,"ChEBI:28867","O-Propanoylcarnitine; O-Propionylcarnitine","O-Propanoylcarnitine; O-Propionylcarnitine"
"cpd:C00250","ChEBI:17310","Vitamin","RP","Pyridoxal","Pyridoxal","Pyridoxal","Pyridoxal","5 - >10000","0.315","3.9","250 - >10000","0.246","3.8","C8H9NO3",0.86,168.066069,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17310","Pyridoxal","Pyridoxal"
"cpd:C00018","ChEBI:18405","Vitamin","RP","Pyridoxal phosphate","Pyridoxal Phosphate","PLP","Pyridoxal phosphate","50 - >10000","0.017","11.6","<0.5 - 5000","0.108","10.2","C8H10NO6P",0.78,248.032402,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18405","Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP","Pyridoxal phosphate; Pyridoxal 5'-phosphate; Pyridoxal 5-phosphate; PLP"
"cpd:C00534","ChEBI:16410","Vitamin","RP","Pyridoxamine","Pyridoxamine","Pyridoxamine","Pyridoxamine","50 - >10000","0.055","2.3","<0.5 - 500","0.01","9.8","C8H12N2O2",0.65,169.097703,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16410","Pyridoxamine; PM","Pyridoxamine; PM"
"cpd:C00777","ChEBI:15367","Vitamin rhodopsin","RP","Retinoic acid","Retinoic Acid","Retinoic acid","Retinoic acid","50 - >10000","2.058","10.3","5 - >10000","2.006","7.2","C20H28O2",11.97,301.216755,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15367","Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Tretin M; all-trans-Vitamin A1 acid","Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid"
"cpd:C00061","ChEBI:17621","Redox","RP","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP",NA,NA,NA,NA,NA,NA,"C17H21N4O9P",3.1,455.096794,"[M-H]",-1,"CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","FMN; Riboflavin-5-phosphate; Flavin mononucleotide"
"cpd:C00061","ChEBI:17621","Redox","RP","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP",NA,NA,NA,NA,NA,NA,"C17H21N4O9P",3.1,455.096794,"[M-H]",1,"CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","FMN; Riboflavin-5-phosphate; Flavin mononucleotide"
"cpd:C00061","ChEBI:17621","Redox","HILIC","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP","100 - >10000","0.552","17.9","20 - >10000","0.902","12","C17H21N4O9P",8.6,455.096794,"[M-H]",-1,"HILICNeg",NA,4,"Mix2",160401,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","FMN; Riboflavin-5-phosphate; Flavin mononucleotide"
"cpd:C00061","ChEBI:17621","Redox","HILIC","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP",NA,NA,NA,NA,NA,NA,"C17H21N4O9P",8.6,457.112444,"[M+H]",1,"HILICPos",NA,4,"Mix2",160401,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","FMN; Riboflavin-5-phosphate; Flavin mononucleotide"
"cpd:C02823","ChEBI:17439","Vitamin B12","RP","Cyanocobalamin","RP B12","Cyano B12","Cyanocobalamin","50 - >10000","1.129","6.4","<0.5 - 5000","0.878","4.8","C63H88CoN14O14P",5.02,678.2894,"[2M+H]",2,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17439","Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex","Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex"
"cpd:C00482","ChEBI:15714","Lignin","RP","Sinapic acid","Sinapic Acid","Sinapic acid","Sinapic acid","<0.5 - >10000","0.707","2.2","50 - >10000","0.7","4.5","C11H12O5",5.985,225.0763,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:77131","Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid","Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid"
"cpd:C00751","ChEBI:15440","Sterol precursor","RP","Squalene","Squalene","Squalene","Squalene",NA,NA,NA,NA,NA,NA,"C30H50",15.02,411.399075,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15440","Squalene; Spinacene; Supraene","Squalene; Spinacene; Supraene"
"cpd:C04294","ChEBI:17957","Vitamin","RP","5-(2-Hydroxyethyl)-4-methylthiazole","Sulfurol","Sulfurol","Sulfurol",NA,"0.985","3.6",NA,"0.838","1","C6H9NOS",1,144.048311,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17957","5-(2-Hydroxyethyl)-4-methylthiazole; 4-Methyl-5-(2'-hydroxyethyl)-thiazole; 4-Methyl-5-(2-hydroxyethyl)-thiazole","5-(2-Hydroxyethyl)-4-methylthiazole; 4-Methyl-5-(2'-hydroxyethyl)-thiazole; 4-Methyl-5-(2-hydroxyethyl)thiazole; HET"
"cpd:C10833","ChEBI:68329","Lignin","RP","Syringic acid","Syringic Acid","Syringic acid","Syringic acid","500 - >10000","0.716","9.7","50 - >10000","1.125","8.9","C9H10O5",4.88,199.06065,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:68329","Syringic acid; Syringate; 4-Hydroxy-3,5-dimethoxybenzoate; Gallic acid 3,5-dimethyl ether","Syringic acid; Syringate; 4-Hydroxy-3,5-dimethoxybenzoate; Gallic acid 3,5-dimethyl ether"
"cpd:C01081","ChEBI:9533","Vitamin (B1-derivative)","RP","Thiamine monophosphate","Thiamine monophosphate","TMP","Thiamine monophosphate",NA,"0.014","27.6",NA,"0.01","13.8","C12H18N4O4PS",0.67,345.078641,"[M]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:9533","Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP","Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP"
"cpd:C01081","ChEBI:9533","Vitamin (B1-derivative)","HILIC","Thiamine monophosphate","Thiamine monophosphate","TMP","Thiamine monophosphate","100 - >10000","0.821","13.5","<10 - >10000","1.08","17.3","C12H18N4O4PS",11.5,345.078641,"[M]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:9533","Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP","Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP"
"cpd:C00068","ChEBI:9532","Vitamin (B1-derivative)","RP","Thiamine diphosphate","thiamine pyrophosphate","TPP","Thiamine diphosphate",NA,"0.026","65.4",NA,"0.073","12.8","C12H19N4O7P2S",0.67,425.044974,"[M]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:9532","Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP","Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP"
"cpd:C00068","ChEBI:9532","Vitamin (B1-derivative)","HILIC","Thiamine diphosphate","Thiamine pyrophosphate","TPP","Thiamine diphosphate","100 - >10000","0.929","23.1","100 - >10000","1.164","19.6","C12H19N4O7P2S",13.765,425.044974,"[M]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:9532","Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP","Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP"
"cpd:C02477","ChEBI:18145","Vitamin (fat soluble)","RP","alpha-Tocopherol","Tocopherol (Vit E)","Vit E","Vit E","500 - >10000","0.473","33","5 - >10000","0.634","4.6","C29H50O2",14.725,431.388905,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:22470","alpha-Tocopherol; Vitamin E","alpha-Tocopherol; Vitamin E"
"cpd:C14153","ChEBI:33270","Vitamin (fat soluble)","RP","alpha-Tocotrienol","Tocotrienol","a-Tocotrienol","a Tocotrienol","2500 - >10000","0.452","31.8","5 - >10000","0.702","2.8","C29H44O2",13.88,425.341955,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:33270","alpha-Tocotrienol","alpha-Tocotrienol"
"cpd:C00423","ChEBI:15669","Lignin","RP","trans-Cinnamic acid","trans cinnamic acid","trans-Cinnamic acid","trans Cinnamic acid","50 - >10000","0.467","4.2","500 - >10000","0.546","2.9","C9H8O2",6.2,131.04969,"[M-OH]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:35697","trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate","trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate"
"cpd:C00376","ChEBI:17898","Vitamin rhodopsin","RP","Retinal","trans Retinal","Retinal","Retinal","50 - >10000","0.635","21.8","5 - >10000","0.596","6.3","C20H28O",12.52,285.22184,"[M+H]",1,"CyanoAq","CyanoDCM",NA,NA,160401,"ChEBI:17898","Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene","Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene"
"cpd:C12105","ChEBI:29694","Antibiotic","RP","Thiotropocin","Tropodithietic acid","Thiotropocin","Thiotropocin","500 - >10000","0","223.6","50 - 5000","0.05","38.5","C8H4O3S2",6.47,212.968013,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:29694","Thiotropocin","Thiotropocin"
"cpd:C00398","ChEBI:16765","Phytohormone","RP","Tryptophol","Tryptamine","Tryptophol","Tryptophol","50 - >10000","0.801","1.8","50 - >10000","0.816","7","C10H12N2",2.55,161.107872,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16765","Tryptamine; 3-(2-Aminoethyl)indole","Tryptamine; 3-(2-Aminoethyl)indole"
"cpd:C00078","ChEBI:16828","Amino Acid","RP","L-Tryptophan","Tryptophan","Tryptophan","Tryptophan","5 - >10000","0.826","2","5 - >10000","0.64","1.3","C11H12N2O2",2.07,205.097703,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16828","L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid","L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid"
"cpd:C00955","ChEBI:17890","Phytohormone","RP","Tryptophol","Tryptophol","Tryptophol","Tryptophol","50 - >10000","0.907","5.9","5 - >10000","0.806","6.2","C10H11NO",5.33,162.091889,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17890","Indole-3-ethanol; Tryptophol","Indole-3-ethanol; Tryptophol"
"cpd:C00082","ChEBI:17895","Amino Acid","RP","L-Tyrosine","Tyrosine","Tyrosine","Tyrosine",NA,NA,NA,NA,NA,NA,"C9H11NO3",1.01,182.081719,"[M+H]",1,"CyanoAq","CyanoDCM",NA,NA,160401,"ChEBI:17895","L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine"
"cpd:C00082","ChEBI:17895","Amino Acid","HILIC","L-Tyrosine","Tyrosine","Tyrosine","Tyrosine","100 - >10000","0.673","15","<10 - 1000","0.272","17.6","C9H11NO3",9.76,182.081719,"[M+H]",1,"HILICPos",NA,4,"Mix1",160401,"ChEBI:17895","L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine"
"cpd:C06672","ChEBI:16632","Lignin","RP","Vanillic acid","Vanillic Acid","Vanillic acid","Vanillic acid","2500 - >10000","0.952","13.3","50 - >10000","1.007","2.8","C8H8O4",4.115,169.050085,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:30816","Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid","Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid"
"cpd:C00755","ChEBI:18346","Lignin","RP","Vanillin","Vanillin","Vanillin","Vanillin","50 - >10000","0.937","7.9","50 - >10000","0.749","4.7","C8H8O3",4.69,153.05517,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18346","4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde","4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde"
"cpd:C00378","ChEBI:18385","Vitamin","RP","Thiamine","Vitamin B1","Vit B1","Thiamine","500 - >10000","0.34","3.2","50 - 2500","0.086","6.6","C12H17N4OS",0.69,265.112308,"[M]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18385","Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor","Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor"
"cpd:C00255","ChEBI:17015","Vitamin","RP","Riboflavin","Vitamin B2","Vit B2","Riboflavin","5 - >10000","0.89","3.5","<0.5 - >10000","0.739","2.6","C17H20N4O6",4.39,377.146111,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17015","Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2","Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2"
"cpd:C00253","ChEBI:15940","Vitamin","RP","Nicotinic acid","Vitamin B3","Vit B3","Nicotinic acid","50 - >10000","0.414","1.8","2500 - >10000","0.236","2.6","C6H5NO2",0.88,124.039854,"[M+H]",1,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:32544","Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid","Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid"
