"Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","C0","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","ChEBI_Names"
"Vitamin B12","RP","Hydroxocobalamin","Hydroxo B12","Hydroxo B12","Hydroxocobalamin","50 - >10000","0.662","2.7","50 - >10000","0.452","5.2","C62H89CoN13O15P",4.35,664.7861,"[2M-OH]",2,"cpd:C08230","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:27786","Hydroxocobalamin; Vitamin B12a; Hydroxycobalamin; Hydroxycob(lll)alamin","ChEBI:27786"
"Phytohormone","RP","Indole-3-acetic acid","IAA","IAA","IAA","50 - >10000","0.904","3.2","<0.5 - >10000","0.757","4.4","C10H9NO2",5.41,176.071154,"[M+H]",1,"cpd:C00954","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16411","Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; (1H-indol-3-yl)acetate; IAA","ChEBI:16411"
"Phytohormone","RP","Indole-3-acetamide","Indole 3 acetamide","Indole 3 acetamide","Indole 3 acetamide","50 - >10000","0.967","3.2","5 - >10000","0.844","5.8","C10H10N2O",4.02,175.087138,"[M+H]",1,"cpd:C02693","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16031","(Indol-3-yl)acetamide; Indole-3-acetamide","ChEBI:16031"
"Internal Standard","RP","Indole-3-acetic acid, 2H5","Indole 3 Acetic Acid, D5","Indole 3 Acetic Acid, D5","Indole 3 Acetic Acid D5",NA,NA,NA,NA,NA,NA,"C10D5H4NO2",5.35,181.1021,"[M+H]",1,NA,"CyanoAq","CyanoDCM",5,NA,160401,NA,NA,NA
"Phytohormone","RP","Indole-3-carboxylic acid","Indole 3 carboxylic acid","Indole-3-carboxylic acid","Indole 3 carboxylic acid","50 - >10000","0.92","13.5","5 - >10000","0.824","3.7","C9H7NO2",5.44,162.055503,"[M+H]",1,"cpd:C19837","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:24809","Indole-3-carboxylate; Indole-3-carboxylic acid",NA
"Phytohormone","RP","Indolelactate","Indole 3 Lactic Acid","Indole 3 Lactic Acid","Indolelactate","50 - >10000","1.867","1.5","5 - >10000","0.843","4.8","C11H11NO3",4.65,206.081719,"[M+H]",1,"cpd:C02043","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:24813","Indolelactate","ChEBI:17282"
"Phytohormone","RP","Methyl indole-3-acetate","Indole 3 methyl acetate","Indole-3-methyl acetate","Indole 3 methyl acetate","50 - >10000","0.933","5.1","5 - >10000","0.754","2.6","C11H11NO2",7.31,190.086804,"[M+H]",1,"cpd:C20635","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:72782","Methyl (indol-3-yl)acetate",NA
"New2","RP","Indoleacrylic acid","Indoleacrylic acid","IAA","Indoleacrylic acid",NA,NA,NA,NA,NA,NA,"C11H9NO2",6.76,188.071154,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:132244",NA,NA
"New2","RP","Isobutyryl-carnitine","Isobutyryl-L-carnitine","carnitine","carnitine",NA,NA,NA,NA,NA,NA,"C11H21NO4",1.3,232.154884,"[M+H]",1,NA,"CyanoAq","CyanoDCM",4,NA,180130,"ChEBI:84838",NA,NA
"Phytohormone","RP","Kinetin","Kinetin","Kinetin","Kinetin","5000 - >10000","0.962","6.1","<0.5 - >10000","0.879","0.9","C10H9N5O",3.37,216.088535,"[M+H]",1,"cpd:C08272","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:27407","Kinetin; 6-Furfuryladenine","ChEBI:27407"
"Amino Acid","RP","L-Kynurenine","Kynurenine","Kynurenine","Kynurenine",NA,"0.564","4.1",NA,"0.482","4.6","C10H12N2O3",1.27,209.092618,"[M+H]",1,"cpd:C00328","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16946","L-Kynurenine; 3-Anthraniloyl-L-alanine","ChEBI:16946"
"Internal Standard","RP","L-Phenylalanine, 2H8","L-Phenylalanine, D8","Phenylalanine, D8","Phenylalanine D8",NA,NA,NA,NA,NA,NA,"C9D8H3O2",1.15,174.1365,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.1,NA,160401,NA,NA,NA
"Internal Standard","RP","L-Tryptophan, 2H3","L-Tryptophan, D3","Tryptophan, D3","Tryptophan D3",NA,NA,NA,NA,NA,NA,"C11D3H9N2O2",2.23,208.1161,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.1,NA,160401,NA,NA,NA
"Circadian","RP","Melatonin","Melatonin","Melatonin","Melatonin","5 - >10000","1.492","3.3","<0.5 - 500","1.121","1","C13H16N2O2",6.51,233.129003,"[M+H]",1,"cpd:C01598","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16796","Melatonin; N-Acetyl-5-methoxytryptamine","ChEBI:16796"
"Vitamin B12","RP","Methylcobalamin","Methyl B12","Methyl B12","Methylcobalamin","50 - >10000","1.216","5.8","May-00","0.706","3.9","C63H91CoN13O14P",6.29,672.8011,"[2M+H]",2,"cpd:C06453","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:28115","Methylcobalamin; Methylcob(III)alamin","ChEBI:28115"
"Phytohormone","RP","Methyl indole-3-carboxylate","Methyl indole 3 carboxylate","Methyl indole-3-carboxylate","Methyl indole 3 carboxylate","5 - >10000","0.953","8.9","<0.5 - >10000","0.918","1.8","C10H9NO2",7.25,176.071154,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"Sulfur","RP","Methylthioadenosine","Methylthioadenosine","MTA","Methylthioadenosine",NA,NA,NA,NA,NA,NA,"C11H15N5O3S",2.1,298.097387,"[M+H]",1,"cpd:C00170","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17509","5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA; 5'-Deoxy-5'-(methylsulfanyl)adenosine","ChEBI:17509"
"Antibiotic","RP","Monesin","Monesin","Monesin","Monesin","50 - >10000","1.97","4.7","<0.5 - >10000","3.839","6.3","C36H61NaO11",11.79,693.418985,"[M+H]",1,"cpd:C06693","CyanoAq","CyanoDCM",0.25,NA,160401,NA,"Monensin; Monensin A","ChEBI:27617"
"New2","RP","Ophthalmic acid","Ophthalmic Acid","Ophthalmic Acid","Ophthalmic acid",NA,NA,NA,NA,NA,NA,"C11H19N3O6",0.77,290.135212,"[M+H]",1,"cpd:C21016","CyanoAq","CyanoDCM",NA,NA,180130,"ChEBI:84058","Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine",NA
"Lignin","RP","p-Coumaric acid","p-Coumaric Acid","p-Coumaric Acid","p Coumaric Acid","<0.5 - >10000","0","dl","50 - >10000","0.545","8.2","C9H8O3",5.385,165.05517,"[M+H]",1,"cpd:C00811","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:36090","4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate","ChEBI:32374"
"Quorum sensing","RP","N-(4-Coumaroyl)-L-homoserine lactone","p-Coumoroyl-HSL","p-Coumoroyl-HSL","p Coumoroyl HSL","5 - >10000","0.448","1.6","5 - >10000","0.237","5.3","C13H13NO4",5.46,248.092284,"[M+H]",1,"cpd:C20677","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:74974","N-(4-Coumaroyl)-L-homoserine lactone",NA
"Amino Acid","RP","L-Phenylalanine","Phenylalanine","Phenylalanine","Phenylalanine","5 - >10000","0.632","2.1","<0.5 - >10000","0.438","2.7","C9H11NO2",1.15,166.086804,"[M+H]",1,"cpd:C00079","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17295","L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid","ChEBI:17295"
"New2","RP","O-Propionylcarnitine","Propionyl-L-carnitine","O-Propionylcarnitine","O Propionylcarnitine",NA,NA,NA,NA,NA,NA,"C10H19NO4",0.99,218.139234,"[M+H]",1,"cpd:C03017","CyanoAq","CyanoDCM",0.25,NA,180130,"ChEBI:74974","O-Propanoylcarnitine; O-Propionylcarnitine","ChEBI:28867"
"Vitamin","RP","Pyridoxal","Pyridoxal","Pyridoxal","Pyridoxal","5 - >10000","0.315","3.9","250 - >10000","0.246","3.8","C8H9NO3",0.86,168.066069,"[M+H]",1,"cpd:C00250","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17310","Pyridoxal","ChEBI:17310"
"Vitamin","RP","Pyridoxal phosphate","Pyridoxal Phosphate","PLP","Pyridoxal phosphate","50 - >10000","0.017","11.6","<0.5 - 5000","0.108","10.2","C8H10NO6P",0.78,248.032402,"[M+H]",1,"cpd:C00018","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18405","Pyridoxal phosphate; Pyridoxal 5'-phosphate; Pyridoxal 5-phosphate; PLP","ChEBI:18405"
"Internal Standard","RP","Pyridoxal, 2H3","Pyridoxal, D3","Pyridoxal, 2H3","Pyridoxal 2H3",NA,NA,NA,NA,NA,NA,"C8D3H7NO3",0.86,171.0843,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.2,NA,170301,NA,NA,NA
"Vitamin","RP","Pyridoxamine","Pyridoxamine","Pyridoxamine","Pyridoxamine","50 - >10000","0.055","2.3","<0.5 - 500","0.01","9.8","C8H12N2O2",0.65,169.097703,"[M+H]",1,"cpd:C00534","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16410","Pyridoxamine; PM","ChEBI:16410"
"Vitamin rhodopsin","RP","Retinoic acid","Retinoic Acid","Retinoic acid","Retinoic acid","50 - >10000","2.058","10.3","5 - >10000","2.006","7.2","C20H28O2",11.97,301.216755,"[M+H]",1,"cpd:C00777","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15367","Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid","ChEBI:15367"
"Redox","RP","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP",NA,NA,NA,NA,NA,NA,"C17H21N4O9P",3.1,455.096794,"[M-H]",-1,"cpd:C00061","CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","ChEBI:17621"
"Redox","RP","Riboflavin-5-phosphate","Riboflavin Monophosphate","RMP","RMP",NA,NA,NA,NA,NA,NA,"C17H21N4O9P",3.1,455.096794,"[M-H]",1,"cpd:C00061","CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:17621","FMN; Riboflavin-5-phosphate; Flavin mononucleotide","ChEBI:17621"
"Internal Standard","RP","Riboflavin-dioxopyrimidine, 13C4, 15N2","Riboflavin-dioxopyrimidine, 13C4, 15N2","Riboflavin-dioxopyrimidine, 13C4, 15N2","Riboflavin dioxopyrimidine 13C4 15N2",NA,NA,NA,NA,NA,NA,"C(13)4C13H20N(15)2N2O6",4.39,383.1531,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.1,NA,160401,NA,NA,NA
"Vitamin B12","RP","Cyanocobalamin","RP B12","Cyano B12","Cyanocobalamin","50 - >10000","1.129","6.4","<0.5 - 5000","0.878","4.8","C63H88CoN14O14P",5.02,678.2894,"[2M+H]",2,"cpd:C02823","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17439","Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex","ChEBI:17439"
"New2","RP","S-Farnesyl-L-cysteine methyl ester","S-Farnesyl-L-cysteine Methyl Ester","S-Fcme","S Fcme",NA,NA,NA,NA,NA,NA,"C19H33NO2S",10.43,340.231026,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.5,NA,180130,"ChEBI:90511",NA,NA
"Lignin","RP","Sinapic acid","Sinapic Acid","Sinapic acid","Sinapic acid","<0.5 - >10000","0.707","2.2","50 - >10000","0.7","4.5","C11H12O5",5.985,225.0763,"[M+H]",1,"cpd:C00482","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:77131","Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid","ChEBI:15714"
"Sterol precursor","RP","Squalene","Squalene","Squalene","Squalene",NA,NA,NA,NA,NA,NA,"C30H50",15.02,411.399075,"[M+H]",1,"cpd:C00751","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15440","Squalene; Spinacene; Supraene","ChEBI:15440"
"Vitamin","RP","5-(2-Hydroxyethyl)-4-methylthiazole","Sulfurol","Sulfurol","Sulfurol",NA,"0.985","3.6",NA,"0.838","1","C6H9NOS",1,144.048311,"[M+H]",1,"cpd:C04294","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17957","5-(2-Hydroxyethyl)-4-methylthiazole; 4-Methyl-5-(2'-hydroxyethyl)-thiazole; 4-Methyl-5-(2-hydroxyethyl)thiazole; HET","ChEBI:17957"
"Lignin","RP","Syringaldehyde","Syringaldehyde","Syringaldehyde","Syringaldehyde","50 - >10000","0.823","10.1","50 - >10000","0.67","5.2","C9H10O4",5.48,183.065735,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:67380",NA,NA
"Lignin","RP","Syringic acid","Syringic Acid","Syringic acid","Syringic acid","500 - >10000","0.716","9.7","50 - >10000","1.125","8.9","C9H10O5",4.88,199.06065,"[M+H]",1,"cpd:C10833","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:68329","Syringic acid; Syringate; 4-Hydroxy-3,5-dimethoxybenzoate; Gallic acid 3,5-dimethyl ether","ChEBI:68329"
"Internal Standard","RP","Thiamine, 13C3","Thiamine Hydrochloride, 13C3","Thiamine Hydrochloride, 13C3","Thiamine Hydrochloride 13C3",NA,NA,NA,NA,NA,NA,"C(13)4C8H17N4OS",0.69,269.1252,"[M]",1,NA,"CyanoAq","CyanoDCM",0.2,NA,170301,"ChEBI:49105",NA,NA
"Vitamin (B1-derivative)","RP","Thiamine monophosphate","Thiamine monophosphate","TMP","Thiamine monophosphate",NA,"0.014","27.6",NA,"0.01","13.8","C12H18N4O4PS",0.67,345.078641,"[M]",1,"cpd:C01081","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:9533","Thiamin monophosphate; Thiamine monophosphate; Thiamin phosphate; Thiamine phosphate; TMP","ChEBI:9533"
"Vitamin (B1-derivative)","RP","Thiamine diphosphate","thiamine pyrophosphate","TPP","Thiamine diphosphate",NA,"0.026","65.4",NA,"0.073","12.8","C12H19N4O7P2S",0.67,425.044974,"[M]",1,"cpd:C00068","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:9532","Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP","ChEBI:9532"
"Vitamin (fat soluble)","RP","alpha-Tocopherol","Tocopherol (Vit E)","Vit E","Vit E","500 - >10000","0.473","33","5 - >10000","0.634","4.6","C29H50O2",14.725,431.388905,"[M+H]",1,"cpd:C02477","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:22470","alpha-Tocopherol; Vitamin E","ChEBI:18145"
"Vitamin (fat soluble)","RP","alpha-Tocotrienol","Tocotrienol","a-Tocotrienol","a Tocotrienol","2500 - >10000","0.452","31.8","5 - >10000","0.702","2.8","C29H44O2",13.88,425.341955,"[M+H]",1,"cpd:C14153","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:33270","alpha-Tocotrienol","ChEBI:33270"
"Lignin","RP","trans-Cinnamic acid","trans cinnamic acid","trans-Cinnamic acid","trans Cinnamic acid","50 - >10000","0.467","4.2","500 - >10000","0.546","2.9","C9H8O2",6.2,131.04969,"[M-OH]",1,"cpd:C00423","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:35697","trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate","ChEBI:15669"
"Vitamin rhodopsin","RP","Retinal","trans Retinal","Retinal","Retinal","50 - >10000","0.635","21.8","5 - >10000","0.596","6.3","C20H28O",12.52,285.22184,"[M+H]",1,"cpd:C00376","CyanoAq","CyanoDCM",NA,NA,160401,"ChEBI:17898","Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene","ChEBI:17898"
"Antioxidant","RP","Trolox","Trolox","Trolox","Trolox",NA,NA,NA,NA,NA,NA,"C14H18O4",7,NA,NA,-1,NA,"CyanoAq","CyanoDCM",NA,NA,160401,"ChEBI:82625",NA,NA
"Antibiotic","RP","Thiotropocin","Tropodithietic acid","Thiotropocin","Thiotropocin","500 - >10000","0","223.6","50 - 5000","0.05","38.5","C8H4O3S2",6.47,212.968013,"[M+H]",1,"cpd:C12105","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:29694","Thiotropocin","ChEBI:29694"
"Phytohormone","RP","Tryptophol","Tryptamine","Tryptophol","Tryptophol","50 - >10000","0.801","1.8","50 - >10000","0.816","7","C10H12N2",2.55,161.107872,"[M+H]",1,"cpd:C00398","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16765","Tryptamine; 3-(2-Aminoethyl)indole","ChEBI:16765"
"Internal Standard","RP","Tryptamine, 2H4","Tryptamine Hydrochloride, D4","Tryptamine Hydrochloride, D4","Tryptamine Hydrochloride D4",NA,NA,NA,NA,NA,NA,"C10D4H8N2",2.55,165.1325,"[M+H]",1,NA,"CyanoAq","CyanoDCM",2.5,NA,160401,NA,NA,NA
"Amino Acid","RP","L-Tryptophan","Tryptophan","Tryptophan","Tryptophan","5 - >10000","0.826","2","5 - >10000","0.64","1.3","C11H12N2O2",2.07,205.097703,"[M+H]",1,"cpd:C00078","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16828","L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid","ChEBI:16828"
"Phytohormone","RP","Tryptophol","Tryptophol","Tryptophol","Tryptophol","50 - >10000","0.907","5.9","5 - >10000","0.806","6.2","C10H11NO",5.33,162.091889,"[M+H]",1,"cpd:C00955","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17890","Indole-3-ethanol; Tryptophol","ChEBI:17890"
"Amino Acid","RP","L-Tyrosine","Tyrosine","Tyrosine","Tyrosine",NA,NA,NA,NA,NA,NA,"C9H11NO3",1.01,182.081719,"[M+H]",1,"cpd:C00082","CyanoAq","CyanoDCM",NA,NA,160401,"ChEBI:17895","L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","ChEBI:17895"
"Lignin","RP","Vanillic acid","Vanillic Acid","Vanillic acid","Vanillic acid","2500 - >10000","0.952","13.3","50 - >10000","1.007","2.8","C8H8O4",4.115,169.050085,"[M+H]",1,"cpd:C06672","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:30816","Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid","ChEBI:16632"
"Lignin","RP","Vanillin","Vanillin","Vanillin","Vanillin","50 - >10000","0.937","7.9","50 - >10000","0.749","4.7","C8H8O3",4.69,153.05517,"[M+H]",1,"cpd:C00755","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18346","4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde","ChEBI:18346"
"Vitamin","RP","Thiamine","Vitamin B1","Vit B1","Thiamine","500 - >10000","0.34","3.2","50 - 2500","0.086","6.6","C12H17N4OS",0.69,265.112308,"[M]",1,"cpd:C00378","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18385","Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor","ChEBI:18385"
"Vitamin","RP","Riboflavin","Vitamin B2","Vit B2","Riboflavin","5 - >10000","0.89","3.5","<0.5 - >10000","0.739","2.6","C17H20N4O6",4.39,377.146111,"[M+H]",1,"cpd:C00255","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17015","Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2","ChEBI:17015"
"Vitamin","RP","Nicotinic acid","Vitamin B3","Vit B3","Nicotinic acid","50 - >10000","0.414","1.8","2500 - >10000","0.236","2.6","C6H5NO2",0.88,124.039854,"[M+H]",1,"cpd:C00253","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:32544","Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid","ChEBI:15940"
"Vitamin","RP","Pantothenic acid","Vitamin B5","Vit B5","Pantothenic acid","May-00","0.403","10.7","<0.5 - 5000","0.103","12.5","C9H17NO5",1.17,220.118498,"[M+H]",1,"cpd:C00864","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:7916","Pantothenate; Pantothenic acid; (R)-Pantothenate","ChEBI:29032"
"Vitamin","RP","Pyridoxol","Vitamin B6","Pyridoxol","Pyridoxol","5 - >10000","0.286","2.6","5000 - 5000","0.25","3.4","C8H11NO3",0.88,170.081719,"[M+H]",1,"cpd:C00314","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16709","Pyridoxine; Pyridoxol","ChEBI:16709"
"Vitamin","RP","Biotin","Vitamin B7","Vit B7","Biotin","50 - >10000","0.788","5.1","5 - >10000","0.718","1.9","C10H16N2O3S",3.75,245.09599,"[M+H]",1,"cpd:C00120","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15956","Biotin; D-Biotin; Vitamin H; Coenzyme R","ChEBI:15956"
"Vitamin","RP","Folic acid","Vitamin B9","Vit B9","Folic acid","50 - >10000","1.19","3.9","5 - >10000","0.873","3.4","C19H19N7O6",4.51,442.147508,"[M+H]",1,"cpd:C00504","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:27470","Folate; Pteroylglutamic acid; Folic acid","ChEBI:27470"
"Vitamin","RP","Ascorbic acid","Vitamin C","Vit C","Ascorbic acid",NA,NA,NA,NA,NA,NA,"C6H8O6",0.8,NA,NA,-1,"cpd:C00072","CyanoAq","CyanoDCM",1,NA,160401,"ChEBI:29073","Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C","ChEBI:29073"
"Vitamin (fat soluble)","RP","Calciferol","Vitamin D2","Vit D2","Calciferol","500 - >10000","0.409","12.7","50 - >10000","0.54","5.1","C28H44O",13.75,397.34704,"[M+H]",1,"cpd:C05441","CyanoAq","CyanoDCM",1,NA,160401,"ChEBI:28934","Vitamin D2; Ergocalciferol","ChEBI:28934"
"Quinone","RP","Phytonadione","Vitamin K1","Vit K1","Phytonadione","50 - >10000","0.903","12","<0.5 - >10000","0.683","8.2","C31H46O2",14.78,451.357605,"[M+H]",1,"cpd:C02059","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:18067","Phylloquinone; Vitamin K1; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone","ChEBI:18067"
"Quinone","RP","Menaquinone","Vitamin K2","Vit K2","Menaquinone","50 - >10000","0.58","10.1","<0.5 - >10000","0.703","4.7","C31H40O2",14.14,445.310655,"[M+H]",1,"cpd:C00828","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16374","Menaquinone; Vitamin K2","ChEBI:16374"
"Purine","RP","Xanthine","Xanthine","Xanthine","Xanthine",NA,"0.243","7.5",NA,"0.274","3.5","C5H4N4O2",1.11,153.041251,"[M+H]",1,"cpd:C00385","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:15318","Xanthine","ChEBI:17712"
"Phytohormone","RP","Zeatin","Zeatin","Zeatin","Zeatin","nd","nd","nd","May-50","0.144","34.8","C10H13N5O",2.02,NA,NA,-1,"cpd:C00371","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:16522","Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Zeatin","ChEBI:16522"
"New","HILIC","2-Hydroxy-4-(methylthio)butyric acid","2-Hydroxy-4-(methylthio)butyric_acid","2-Hydroxy-4-(methylthio)butyric_acid","Hydroxy  methylthio butyric acid",NA,NA,NA,NA,NA,NA,"C5H10O3S",2.69,149.027242,"[M-H]",-1,NA,"HILICNeg",NA,5,"Mix1",170331,NA,NA,NA
"Sulfur","HILIC","3-Sulfopyruvic acid","3-Sulfopyruvic Acid","3-Sulfopyruvic Acid","Sulfopyruvic Acid","1000 - >10000","1.078","23.1","20 - 1000","1.13","2.7","C3H4O6S",12.92,166.965037,"[M-H]",-1,"cpd:C05528","HILICNeg",NA,4,"Mix2",160401,"ChEBI:16894","3-Sulfopyruvate; 3-Sulfopyruvic acid","ChEBI:16894"
"Co-enzyme A","HILIC","Acetoacetyl-CoA","Acetoacetyl CoA","Acetoacetyl CoA","Acetoacetyl CoA","100 - >10000","dl","dl","100 - >10000","0.055","69.1","C25H40N7O18P3S",10.6,850.128524,"[M-H]",-1,"cpd:C00332","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15345","Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA","ChEBI:15345"
"Co-enzyme A","HILIC","Acetyl-CoA","Acetyl CoA","Acetyl-CoA","Acetyl CoA","20 - >10000","0.692","17.5","<10 - >10000","0.955","17.6","C23H38N7O17P3S",10.84,808.117959,"[M-H]",-1,"cpd:C00024","HILICNeg",NA,4,"Mix1",160401,"ChEBI:15351","Acetyl-CoA; Acetyl coenzyme A","ChEBI:15351"
"Internal Standard","HILIC","Acetyl-CoA, 13C2","Acetyl CoA, 13C2","Acetyl CoA, 13C2","Acetyl CoA 13C2",NA,NA,NA,NA,NA,NA,"C21C(13)2H38N7O17P3S",10.84,810.1252,"[M-H]",-1,NA,"HILICNeg",NA,1,NA,160401,NA,NA,NA
"New2","HILIC","O-Acetylcarnitine","Acetyl-L-carnitine","carnitine","carnitine",NA,NA,NA,NA,NA,NA,"C9H17NO4",7.22,204.123584,"[M+H]",1,"cpd:C02571","HILICPos",NA,4,"Mix1",180130,"ChEBI:57589","O-Acetylcarnitine; O-Acetyl-L-carnitine","ChEBI:15960"
"Organic Acid","HILIC","cis-Aconitic acid","Aconitic Acid","Aconitic acid","Aconitic acid","500 - 1000","1.196","22.6","<10 - 1000","1.175","15.5","C6H6O6",14.21,173.008615,"[M-H]",-1,"cpd:C00417","HILICNeg",NA,4,"Mix1",160401,"ChEBI:32805","cis-Aconitate; cis-Aconitic acid","ChEBI:16383"
