"","Compound_Name","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_SQL"
"60","Adenosylcobalamin","Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide","ChEBI:18408","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-methanidyloxolane-3,4-diol;cobalt;[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate","DFDCDQDATCDZSO-OUCXYWSSSA-L","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Tetrapyrroles and derivatives; subclass: Corrinoids; level 5: Cobalamin derivatives","Adenosylcobalamin"
"61","Agmatine","Agmatine; (4-Aminobutyl) guanidine","ChEBI:17431","2-(4-aminobutyl)guanidine","QYPPJABKJHAVHS-UHFFFAOYSA-N","C(CCN=C(N)N)CN","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Guanidines","Agmatine"
"62","Allantoin","Allantoin; 5-Ureidohydantoin; Glyoxyldiureide","ChEBI:15676","(2,5-dioxoimidazolidin-4-yl)urea","POJWUDADGALRAB-UHFFFAOYSA-N","C1(C(=O)NC(=O)N1)NC(=O)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Azoles; subclass: Imidazoles","Allantoin"
"63","Allopurinol",NA,"CHEBI:40279","1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines","Allopurinol"
"66","alpha-Tocopherol","alpha-Tocopherol; Vitamin E","ChEBI:18145","(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol","GVJHHUAWPYXKBD-IEOSBIPESA-N","CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocopherols; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocopherols","Vitamin E"
"68","alpha-Tocopherol, 2H6",NA,NA,NA,NA,NA,NA,"alpha Tocopherol 2H6"
"70","alpha-Tocotrienol","alpha-Tocotrienol","ChEBI:33270","(2R)-2,5,7,8-tetramethyl-2-[(3E,7E)-4,8,12-trimethyltrideca-3,7,11-trienyl]-3,4-dihydrochromen-6-ol","RZFHLOLGZPDCHJ-XZXLULOTSA-N","CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=C1O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocotrienols; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Vitamin E compounds; level 6: Tocotrienols","alpha Tocotrienal"
"72","Anserine","beta-Alanyl-N(pi)-methyl-L-histidine; Anserine","ChEBI:18323","(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid","MYYIAHXIVFADCU-QMMMGPOBSA-N","CN1C=NC=C1CC(C(=O)O)NC(=O)CCN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides","Anserine"
"74","Arachidonic acid","Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid","ChEBI:15843","(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid","YZXBAPSDXZZRGB-DOFZRALJSA-N","CCCCCC=CCC=CCC=CCC=CCCCC(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Long-chain fatty acids","Arachidonic acid"
"76","Arachidonic acid, 2H8",NA,NA,NA,NA,NA,NA,"Arachidonic acid 2H8"
"78","Arsenobetaine","Arsenobetaine","ChEBI:82392","2-trimethylarsoniumylacetate","SPTHHTGLGVZZRH-UHFFFAOYSA-N","C[As+](C)(C)CC(=O)[O-]","kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts; kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts","Arsenobetaine"
"80","Arsenobetaine, 13C2",NA,NA,NA,NA,NA,NA,"Arsenobetaine 13C2"
"81","Ascorbic acid","Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C","ChEBI:29073","(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one","CIWBSHSKHKDKBQ-JLAZNSOCSA-N","C(C(C1C(=C(C(=O)O1)O)O)O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Dihydrofurans; subclass: Furanones; level 5: Butenolides","Ascorbic acid"
"82","beta-Alanine","beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate","ChEBI:16958","3-aminopropanoic acid","UCMIRNVEIXFBKS-UHFFFAOYSA-N","C(CN)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Beta amino acids and derivatives","beta Alanine"
"83","beta-Alaninebetaine","beta-Alaninebetaine; beta-Alanine betaine; Propiobetaine; Trimethylalanine","ChEBI:28825","3-(trimethylazaniumyl)propanoate","ACZVSMNFVFBOTM-UHFFFAOYSA-N","C[N+](C)(C)CCC(=O)[O-]","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Tetraalkylammonium salts","TMAP"
"84","beta-Apo-8'-carotenal",NA,"CHEBI:53154","(2E,4E,6E,8E,10E,12E,14Z,16E)-2,6,11,15-tetramethyl-17-(2,6,6-trimethylcyclohexen-1-yl)heptadeca-2,4,6,8,10,12,14,16-octaenal","DFMMVLFMMAQXHZ-IPIGPKAOSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Triterpenoids","Apocarotenal"
"85","beta-Carotene","beta-Carotene; all-trans-beta-Carotene","ChEBI:17579","1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene","OENHQHLEOONYIE-JLTXGRSLSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Tetraterpenoids; level 5: Carotenoids; level 6: Carotenes; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Tetraterpenoids; level 5: Carotenoids; level 6: Carotenes","beta Carotene"
"87","beta-Cyclocitral","beta-Cyclocitral; 2,6,6-Trimethyl-1-cyclohexene-1-carbaldehyde","CHEBI:53177","2,6,6-trimethylcyclohexene-1-carbaldehyde","MOQGCGNUWBPGTQ-UHFFFAOYSA-N","CC1=C(C(CCC1)(C)C)C=O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organic oxides","beta Cyclocitral"
"88","beta-Glutamic acid",NA,NA,"3-aminopentanedioic acid","BBJIPMIXTXKYLZ-UHFFFAOYSA-N","C(C(CC(=O)O)N)C(=O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Amino fatty acids","beta Glutamic acid"
"89","beta-Ionone","beta-Ionone; trans-beta-Ionone","ChEBI:32325","(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one","PSQYTAPXSHCGMF-BQYQJAHWSA-N","CC1=C(C(CCC1)(C)C)C=CC(=O)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Sesquiterpenoids","beta Ionine"
"90","beta-Ionylidene acetaldehyde",NA,NA,"(2E,4E)-3-methyl-5-(2,6,6-trimethylcyclohexen-1-yl)penta-2,4-dienal","OPSSCPNCFKJCFR-ANKZSMJWSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=O)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Sesquiterpenoids","beta Ionylidene acetaldehyde"
"91","Betonicine","(-)-Betonicine; Betonicine; trans-4-Hydroxy-L-proline betaine","ChEBI:85533","(2S,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate","MUNWAHDYFVYIKH-RITPCOANSA-N","C[N+]1(CC(CC1C(=O)[O-])O)C","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Proline and derivatives","Betonicine"
"92","Biotin","Biotin; D-Biotin; Vitamin H; Coenzyme R","ChEBI:15956","5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid","YBJHBAHKTGYVGT-ZKWXMUAHSA-N","C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Biotin and derivatives","Biotin"
"93","Butyrylcarnitine","O-Butanoylcarnitine","ChEBI:7676","(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate","QWYFHHGCZUCMBN-SECBINFHSA-N","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines","Butyrylcarnitine"
"95","Butyrylglycine",NA,"CHEBI:89963","2-(butanoylamino)acetic acid","WPSSBBPLVMTKRN-UHFFFAOYSA-N","CCCC(=O)NCC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: N-acyl-alpha amino acids and derivatives; level 8: N-acyl-alpha amino acids","Butyrylglycine"
"96","Caffeic acid","Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate","ChEBI:16433","(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid","QAIPRVGONGVQAS-DUXPYHPUSA-N","C1=CC(=C(C=C1C=CC(=O)O)O)O","kingdom: Organic compounds; superclass: Phenylpropanoids and polyketides; class: Cinnamic acids and derivatives; subclass: Hydroxycinnamic acids and derivatives; level 5: Hydroxycinnamic acids","Caffeic acid"
"97","Caffeine","Caffeine; 1,3,7-Trimethylxanthine","ChEBI:27732","1,3,7-trimethylpurine-2,6-dione","RYYVLZVUVIJVGH-UHFFFAOYSA-N","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: Xanthines","Caffeine"
"98","Calciferol","Vitamin D2; Ergocalciferol","ChEBI:28934",NA,NA,NA,NA,"Calciferol"
"100","Camalexin","Camalexin; 3-(Thiazol-2-yl)indole","CHEBI:22990","2-(1H-indol-3-yl)-1,3-thiazole","IYODIJVWGPRBGQ-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)C3=NC=CS3","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indoles","Camalexin"
"101","Carnitine","Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate","ChEBI:17126","3-hydroxy-4-(trimethylazaniumyl)butanoate","PHIQHXFUZVPYII-UHFFFAOYSA-N","C[N+](C)(C)CC(CC(=O)[O-])O","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Carnitines","Carnitine"
"102","Carnosine","Carnosine; Nalpha-(beta-alanyl)-L-histidine","ChEBI:15727","(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Peptidomimetics; subclass: Hybrid peptides","Carnosine"
"104","Ceramide d18:1-24:0",NA,NA,NA,NA,NA,NA,"CerNS d18s1_24s0"
"106","Chitobiose","Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose","ChEBI:28681","N-[(2S,3R,4R,5S,6R)-2-[(2R,3S,4R,5R)-5-acetamido-1,2,4-trihydroxy-6-oxohexan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide","PLJAKLUDUPBLGD-VLWZLFBZSA-N","CC(=O)NC1C(C(C(OC1OC(C(CO)O)C(C(C=O)NC(=O)C)O)CO)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Aminosaccharides; level 6: N-acyl-alpha-hexosamines","Chitobiose"
"107","Chlorophyll a","Chlorophyll a","ChEBI:18230","magnesium;methyl (3R,21S,22S)-16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diaza-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23)-decaene-3-carboxylate","ATNHDLDRLWWWCB-AENOIHSZSA-M","CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C4=O)C(=O)OC)C)C.[Mg+2]","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Tetrapyrroles and derivatives; subclass: Chlorins","Chlorophyll a"
"108","Cholesterol","Cholesterol; Cholest-5-en-3beta-ol","ChEBI:16113","(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","HVYWMOMLDIMFJA-DPAQBDIFSA-N","CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Steroids and steroid derivatives; subclass: Cholestane steroids; level 5: Cholesterols and derivatives","Cholesterol"
"110","Choline","Choline; Bilineurine","ChEBI:15354","2-hydroxyethyl(trimethyl)azanium","OEYIOHPDSNJKLS-UHFFFAOYSA-N","C[N+](C)(C)CCO","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines; kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Cholines","Choline"
"112","Choline sulfate","Choline sulfate","ChEBI:16822","2-(trimethylazaniumyl)ethyl sulfate","WXCQAWGXWVRCGP-UHFFFAOYSA-N","C[N+](C)(C)CCOS(=O)(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfuric acids and derivatives; subclass: Sulfuric acid esters; level 5: Sulfuric acid monoesters; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfuric acids and derivatives; subclass: Sulfuric acid esters; level 5: Sulfuric acid monoesters","Choline sulfate"
"114","cis-Aconitic acid","cis-Aconitate; cis-Aconitic acid","ChEBI:16383","(Z)-prop-1-ene-1,2,3-tricarboxylic acid","GTZCVFVGUGFEME-IWQZZHSRSA-N","C(C(=CC(=O)O)C(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Tricarboxylic acids and derivatives","Aconitic acid"
"115","Citric acid","Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid","ChEBI:16947","2-hydroxypropane-1,2,3-tricarboxylic acid","KRKNYBCHXYNGOX-UHFFFAOYSA-N","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Tricarboxylic acids and derivatives","Citric acid"
"116","Citrulline","L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline","ChEBI:16349","(2S)-2-amino-5-(carbamoylamino)pentanoic acid","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C(CC(C(=O)O)N)CNC(=O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Citrulline"
"117","Coenzyme Q1","Ubiquinone; Coenzyme Q; CoQ; Q","ChEBI:16389","2,3-dimethoxy-5-methyl-6-(3-methylbut-2-enyl)cyclohexa-2,5-diene-1,4-dione","SOECUQMRSRVZQQ-UHFFFAOYSA-N","CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Prenylquinones; level 6: Ubiquinones","Coenzyme Q1"
"118","Coenzyme Q10","Ubiquinone-10; Ubidecarenone; Coenzyme Q10","ChEBI:46245","2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2,6,10,14,18,22,26,30,34,38-decaenyl]-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione","ACTIUHUUMQJHFO-UPTCCGCDSA-N","CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Prenylquinones; level 6: Ubiquinones; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Quinone and hydroquinone lipids; level 5: Prenylquinones; level 6: Ubiquinones","Coenzyme Q10"
"120","Creatine","Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine","ChEBI:16919","2-[carbamimidoyl(methyl)amino]acetic acid","CVSVTCORWBXHQV-UHFFFAOYSA-N","CN(CC(=O)O)C(=N)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives","Creatine"
"121","Creatinine","Creatinine; 1-Methylglycocyamidine","ChEBI:16737","2-amino-3-methyl-4H-imidazol-5-one","DDRJAANPRJIHGJ-UHFFFAOYSA-N","CN1CC(=O)N=C1N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives","Creatinine"
"123","Crotonoyl-CoA","Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA; (2E)-But-2-enoyl-CoA","ChEBI:15473","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (E)-but-2-enethioate","KFWWCMJSYSSPSK-PAXLJYGASA-N","CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Enoyl CoAs; level 6: 2-enoyl CoAs","Crotonoyl CoA"
"124","Cyanocobalamin","Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex","ChEBI:17439","cobalt(3+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl] phosphate;cyanide","FDJOLVPMNUYSCM-WZHZPDAFSA-L","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Tetrapyrroles and derivatives; subclass: Corrinoids; level 5: Cobalamin derivatives","Cyanocobalamin"
"125","Cys-Gly, oxidized","Cys-Gly; L-Cysteinylglycine","ChEBI:4047","2-[[2-amino-3-[[2-amino-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]propanoyl]amino]acetic acid","KDJVKDYFFTWHBO-UHFFFAOYSA-N","C(C(C(=O)NCC(=O)O)N)SSCC(C(=O)NCC(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides","Cys Gly oxidized"
"126","Cytidine","Cytidine","ChEBI:17562","4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","UHDGCWIWMRVCDJ-XVFCMESISA-N","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides","Cytidine"
"128","Cytosine","Cytosine","ChEBI:16040","6-amino-1H-pyrimidin-2-one","OPTASPLRGRRNAP-UHFFFAOYSA-N","C1=C(NC(=O)N=C1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Pyrimidones; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Pyrimidones","Cytosine"
"130","Cytosine, 13C2, 15N3",NA,NA,NA,NA,NA,NA,"Cytosine 13C2 15N3"
"131","Decarboxylated S-Adenosylmethionine",NA,NA,"3-aminopropyl-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl]-methylsulfanium","ZUNBITIXDCPNSD-LSRJEVITSA-N","C[S+](CCCN)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides","Decarboxylated S Adenosylmethionine"
